dataset,granularity,model,fold,method,ece,best_lambda,n_concepts,n_concepts_fitted,share_rows_with_own_curve,n_test
assist2009,concept,akt,0,none,0.010144944341557658,1000.0,116,92,0.9913575859395193,61904
assist2009,concept,akt,0,isotonic,0.007887645057334981,1000.0,116,92,0.9913575859395193,61904
assist2009,concept,akt,0,concept_aware_lambda0,0.017373319466797415,1000.0,116,92,0.9913575859395193,61904
assist2009,concept,akt,0,concept_aware_eb,0.010990687224917715,1000.0,116,92,0.9913575859395193,61904
assist2009,concept,akt,0,difficulty_bucket,0.007833236537815891,1000.0,116,92,0.9913575859395193,61904
assist2009,concept,akt,1,none,0.006168805380620897,5000.0,113,93,0.9899683380718531,61904
assist2009,concept,akt,1,isotonic,0.010009683579666905,5000.0,113,93,0.9899683380718531,61904
assist2009,concept,akt,1,concept_aware_lambda0,0.01753083950820444,5000.0,113,93,0.9899683380718531,61904
assist2009,concept,akt,1,concept_aware_eb,0.011175253834067698,5000.0,113,93,0.9899683380718531,61904
assist2009,concept,akt,1,difficulty_bucket,0.010052749359139742,5000.0,113,93,0.9899683380718531,61904
assist2009,concept,akt,2,none,0.0074279251457233944,inf,118,101,0.9964622641509434,61904
assist2009,concept,akt,2,isotonic,0.011037096709131711,inf,118,101,0.9964622641509434,61904
assist2009,concept,akt,2,concept_aware_lambda0,0.01974891522854859,inf,118,101,0.9964622641509434,61904
assist2009,concept,akt,2,concept_aware_eb,0.011037096709131711,inf,118,101,0.9964622641509434,61904
assist2009,concept,akt,2,difficulty_bucket,0.011113741560515344,inf,118,101,0.9964622641509434,61904
assist2009,concept,akt,3,none,0.007119898870692492,100000.0,117,98,0.9943783923494443,61904
assist2009,concept,akt,3,isotonic,0.011482638242475088,100000.0,117,98,0.9943783923494443,61904
assist2009,concept,akt,3,concept_aware_lambda0,0.019652843713013506,100000.0,117,98,0.9943783923494443,61904
assist2009,concept,akt,3,concept_aware_eb,0.011488865789895112,100000.0,117,98,0.9943783923494443,61904
assist2009,concept,akt,3,difficulty_bucket,0.011577565712708193,100000.0,117,98,0.9943783923494443,61904
assist2009,concept,akt,4,none,0.019155259687143166,1000.0,112,94,0.991276815714655,61904
assist2009,concept,akt,4,isotonic,0.006170731863002006,1000.0,112,94,0.991276815714655,61904
assist2009,concept,akt,4,concept_aware_lambda0,0.013457583464622898,1000.0,112,94,0.991276815714655,61904
assist2009,concept,akt,4,concept_aware_eb,0.0074091067888602345,1000.0,112,94,0.991276815714655,61904
assist2009,concept,akt,4,difficulty_bucket,0.006095227258263965,1000.0,112,94,0.991276815714655,61904
assist2009,concept,simplekt,0,none,0.055354763466805575,inf,116,92,0.9913575859395193,61904
assist2009,concept,simplekt,0,isotonic,0.008911323067060573,inf,116,92,0.9913575859395193,61904
