dataset,model,method,n_folds,folds,ece_mean,ece_std,auc_mean,auc_std,brier_mean,brier_std,n_test
ednet,dkt,isotonic,5,"0,1,2,3,4",0.005734,0.004076,0.925266,0.000442,0.093871,0.000188,301372
ednet,dkt,none,5,"0,1,2,3,4",0.009536,0.000484,0.925319,0.000452,0.093967,0.000178,301372
ednet,dkt,platt,5,"0,1,2,3,4",0.012322,0.001609,0.925319,0.000452,0.094208,0.000212,301372
ednet,dkt,temperature,5,"0,1,2,3,4",0.010676,0.000868,0.925319,0.000452,0.094027,0.000215,301372
ednet,sakt,isotonic,5,"0,1,2,3,4",0.004829,0.004163,0.918159,0.000533,0.098681,0.000354,301372
ednet,sakt,none,5,"0,1,2,3,4",0.019844,0.006535,0.918221,0.000541,0.099847,0.00084,301372
ednet,sakt,platt,5,"0,1,2,3,4",0.0086,0.003817,0.918221,0.000541,0.098822,0.000367,301372
ednet,sakt,temperature,5,"0,1,2,3,4",0.01251,0.007077,0.918221,0.000541,0.099137,0.000494,301372
ednet,simplekt,isotonic,5,"0,1,2,3,4",0.005341,0.003364,0.940687,0.000276,0.086862,8.1e-05,301372
ednet,simplekt,none,5,"0,1,2,3,4",0.01945,0.003225,0.940731,0.000273,0.087939,0.00053,301372
ednet,simplekt,platt,5,"0,1,2,3,4",0.01076,0.004947,0.940731,0.000273,0.087137,0.000228,301372
ednet,simplekt,temperature,5,"0,1,2,3,4",0.015144,0.004234,0.940731,0.000273,0.087413,0.000557,301372
