dataset,granularity,family,model,fold,method,axis,quartile,ece,n_rows,n_students,ece_overall,selected_on_outcome
algebra2005,concept,deep,sakt,0,temperature,ability_prefix20,0,0.009420764710890529,59776,52,0.004810355361691825,False
algebra2005,concept,deep,sakt,0,temperature,ability_prefix20,1,0.004373963397493553,72619,61,0.004810355361691825,False
algebra2005,concept,deep,sakt,0,none,history,0,0.028382760496060915,18246,57,0.029661771553802896,False
algebra2005,concept,deep,sakt,0,none,history,1,0.029864193625133453,115288,57,0.029661771553802896,False
algebra2005,concept,deep,sakt,0,platt,history,0,0.012692156278394427,18246,57,0.006976402057529526,False
algebra2005,concept,deep,sakt,0,platt,history,1,0.006071800958421946,115288,57,0.006976402057529526,False
algebra2005,concept,deep,sakt,0,isotonic,history,0,0.013950398099665855,18246,57,0.006745029819765655,False
algebra2005,concept,deep,sakt,0,isotonic,history,1,0.005921327752139433,115288,57,0.006745029819765655,False
algebra2005,concept,deep,sakt,0,temperature,history,0,0.0068481648145728435,18246,57,0.004631895423063701,False
algebra2005,concept,deep,sakt,0,temperature,history,1,0.005169779777109869,115288,57,0.004631895423063701,False
algebra2005,concept,deep,sakt,0,none,rt,0,0.027750338150071736,76153,57,0.029661771553802896,False
algebra2005,concept,deep,sakt,0,none,rt,1,0.03329933421684763,57381,57,0.029661771553802896,False
algebra2005,concept,deep,sakt,0,platt,rt,0,0.00922278727633837,76153,57,0.006976402057529526,False
algebra2005,concept,deep,sakt,0,platt,rt,1,0.005544806640450019,57381,57,0.006976402057529526,False
algebra2005,concept,deep,sakt,0,isotonic,rt,0,0.00915291848403802,76153,57,0.006745029819765655,False
algebra2005,concept,deep,sakt,0,isotonic,rt,1,0.006012541728235878,57381,57,0.006745029819765655,False
algebra2005,concept,deep,sakt,0,temperature,rt,0,0.004601352227050721,76153,57,0.004631895423063701,False
algebra2005,concept,deep,sakt,0,temperature,rt,1,0.009764318062423246,57381,57,0.004631895423063701,False
algebra2005,concept,deep,akt,0,none,ability_prefix5,0,0.008088818791258534,71565,52,0.004128729199003825,False
algebra2005,concept,deep,akt,0,none,ability_prefix5,1,0.006270709115780939,62539,62,0.004128729199003825,False
algebra2005,concept,deep,akt,0,platt,ability_prefix5,0,0.005937236343357352,71565,52,0.007238160224869001,False
algebra2005,concept,deep,akt,0,platt,ability_prefix5,1,0.012844060385477356,62539,62,0.007238160224869001,False
algebra2005,concept,deep,akt,0,isotonic,ability_prefix5,0,0.0031603078110596008,71565,52,0.006932516669797285,False
algebra2005,concept,deep,akt,0,isotonic,ability_prefix5,1,0.012747147111329694,62539,62,0.006932516669797285,False
algebra2005,concept,deep,akt,0,temperature,ability_prefix5,0,0.007613829399232462,71565,52,0.004951807774272863,False
algebra2005,concept,deep,akt,0,temperature,ability_prefix5,1,0.007645425805547899,62539,62,0.004951807774272863,False
algebra2005,concept,deep,akt,0,none,ability_prefix10,0,0.01123044040900177,64555,51,0.004248029668150035,False
algebra2005,concept,deep,akt,0,none,ability_prefix10,1,0.006539549337543341,68979,63,0.004248029668150035,False
algebra2005,concept,deep,akt,0,platt,ability_prefix10,0,0.007123599726738971,64555,51,0.0070893247497377946,False
algebra2005,concept,deep,akt,0,platt,ability_prefix10,1,0.01420507008725381,68979,63,0.0070893247497377946,False
algebra2005,concept,deep,akt,0,isotonic,ability_prefix10,0,0.004562568774702499,64555,51,0.006740542478640559,False
algebra2005,concept,deep,akt,0,isotonic,ability_prefix10,1,0.014114728582591897,68979,63,0.006740542478640559,False
algebra2005,concept,deep,akt,0,temperature,ability_prefix10,0,0.009971686284757472,64555,51,0.00494932246923146,False
algebra2005,concept,deep,akt,0,temperature,ability_prefix10,1,0.008024357219060838,68979,63,0.00494932246923146,False
algebra2005,concept,deep,akt,0,none,ability_all_rows,0,0.017389014883344874,76950,57,0.004248029668150035,True
algebra2005,concept,deep,akt,0,none,ability_all_rows,1,0.016580132768133894,56584,57,0.004248029668150035,True
algebra2005,concept,deep,akt,0,platt,ability_all_rows,0,0.006710714677179695,76950,57,0.0070893247497377946,True
algebra2005,concept,deep,akt,0,platt,ability_all_rows,1,0.025255708247325412,56584,57,0.0070893247497377946,True
algebra2005,concept,deep,akt,0,isotonic,ability_all_rows,0,0.006945026405808019,76950,57,0.006740542478640559,True
algebra2005,concept,deep,akt,0,isotonic,ability_all_rows,1,0.02523438249393478,56584,57,0.006740542478640559,True
algebra2005,concept,deep,akt,0,temperature,ability_all_rows,0,0.01474240315811948,76950,57,0.00494932246923146,True
algebra2005,concept,deep,akt,0,temperature,ability_all_rows,1,0.01982925691699408,56584,57,0.00494932246923146,True
algebra2005,concept,deep,akt,0,none,ability_prefix20,0,0.010702300948945111,59776,52,0.00430386342801035,False
algebra2005,concept,deep,akt,0,none,ability_prefix20,1,0.005411833906251468,72619,61,0.00430386342801035,False
algebra2005,concept,deep,akt,0,platt,ability_prefix20,0,0.007260909647525628,59776,52,0.007154481339219131,False
algebra2005,concept,deep,akt,0,platt,ability_prefix20,1,0.012318596260391956,72619,61,0.007154481339219131,False
algebra2005,concept,deep,akt,0,isotonic,ability_prefix20,0,0.0052147622468445304,59776,52,0.00676212661788969,False
algebra2005,concept,deep,akt,0,isotonic,ability_prefix20,1,0.012170783315508108,72619,61,0.00676212661788969,False
algebra2005,concept,deep,akt,0,temperature,ability_prefix20,0,0.010568089283004616,59776,52,0.0052001620457933885,False
algebra2005,concept,deep,akt,0,temperature,ability_prefix20,1,0.006301254990458469,72619,61,0.0052001620457933885,False
algebra2005,concept,deep,akt,0,none,history,0,0.010589401353178323,18246,57,0.004248029668150035,False
algebra2005,concept,deep,akt,0,none,history,1,0.00557080155930679,115288,57,0.004248029668150035,False
algebra2005,concept,deep,akt,0,platt,history,0,0.017362324809796777,18246,57,0.0070893247497377946,False
algebra2005,concept,deep,akt,0,platt,history,1,0.006151492660681488,115288,57,0.0070893247497377946,False
algebra2005,concept,deep,akt,0,isotonic,history,0,0.016915804875497306,18246,57,0.006740542478640559,False
algebra2005,concept,deep,akt,0,isotonic,history,1,0.005130159457918178,115288,57,0.006740542478640559,False
algebra2005,concept,deep,akt,0,temperature,history,0,0.01174739032147564,18246,57,0.00494932246923146,False
algebra2005,concept,deep,akt,0,temperature,history,1,0.005996850590812123,115288,57,0.00494932246923146,False
algebra2005,concept,deep,akt,0,none,rt,0,0.0049878267070531945,76153,57,0.004248029668150035,False
algebra2005,concept,deep,akt,0,none,rt,1,0.007139321760260126,57381,57,0.004248029668150035,False
algebra2005,concept,deep,akt,0,platt,rt,0,0.009115915623535115,76153,57,0.0070893247497377946,False
algebra2005,concept,deep,akt,0,platt,rt,1,0.005340807435432714,57381,57,0.0070893247497377946,False
algebra2005,concept,deep,akt,0,isotonic,rt,0,0.008591585063736995,76153,57,0.006740542478640559,False
algebra2005,concept,deep,akt,0,isotonic,rt,1,0.005960068575269628,57381,57,0.006740542478640559,False
algebra2005,concept,deep,akt,0,temperature,rt,0,0.006223903817990574,76153,57,0.00494932246923146,False
algebra2005,concept,deep,akt,0,temperature,rt,1,0.005544835590958529,57381,57,0.00494932246923146,False
algebra2005,concept,deep,simplekt,0,none,ability_prefix5,0,0.022007817546890098,71565,52,0.023708724697654,False
algebra2005,concept,deep,simplekt,0,none,ability_prefix5,1,0.02565511687284737,62539,62,0.023708724697654,False
algebra2005,concept,deep,simplekt,0,platt,ability_prefix5,0,0.011130814048427484,71565,52,0.011058797468639255,False
