dataset,granularity,fold,contrast_type,model_a,method_a,family_a,model_b,method_b,family_b,ece_a,ece_b,delta_ece,ci_low,ci_high,p,n_students,pairing,family_key,p_holm,reject_holm,family_size
assist2009,concept,4,within_deep,akt,platt,deep,dkt,isotonic,deep,0.00595140028157385,0.006738685897324672,-0.0007872856157508223,-0.004242937395199864,0.0027641505442209764,0.7603239676032397,770,paired,concept|f4|within_deep,1.0,False,7
assist2009,question,0,within_deep,dkt,temperature,deep,akt,temperature,deep,0.005372816486357153,0.007884017843735165,-0.002511201357378012,-0.005944641139571068,0.0025989580247947827,0.41035896410358963,770,paired,question|f0|within_deep,1.0,False,6
assist2009,question,0,cross_family,dkt,temperature,deep,elorasch,isotonic,classical,0.005372816486357153,0.007594704742551078,-0.0022218882561939246,-0.007502755626572089,0.004371413926613369,0.5303469653034697,770,unpaired_shared_students,question|f0|cross_family,1.0,False,6
assist2009,question,1,within_deep,akt,temperature,deep,sakt,temperature,deep,0.005211433924377969,0.007715698232563059,-0.0025042643081850903,-0.0071362696791864065,0.004756952149452316,0.6485351464853515,770,paired,question|f1|within_deep,1.0,False,6
assist2009,question,1,cross_family,akt,temperature,deep,elorasch,isotonic,classical,0.005211433924377969,0.0057941857425661755,-0.0005827518181882067,-0.007463478759093082,0.005191305355561144,0.7173282671732827,770,unpaired_shared_students,question|f1|cross_family,1.0,False,6
assist2009,question,2,within_deep,sakt,temperature,deep,akt,temperature,deep,0.006322848983381692,0.006607801273302733,-0.00028495228992104094,-0.005319362086984276,0.005408828180336795,0.9895010498950105,770,paired,question|f2|within_deep,1.0,False,6
assist2009,question,2,cross_family,elorasch,platt,classical,sakt,temperature,deep,0.006294274959158302,0.006322848983381692,-2.8574024223389748e-05,-0.0061457379207778854,0.006271344610748155,0.9935006499350065,770,unpaired_shared_students,question|f2|cross_family,1.0,False,6
assist2009,question,3,within_deep,dkt,temperature,deep,akt,temperature,deep,0.0041669095931617765,0.00702242208868947,-0.0028555124955276937,-0.006816184681740468,0.0021562305567106943,0.31716828317168283,770,paired,question|f3|within_deep,1.0,False,6
assist2009,question,3,cross_family,dkt,temperature,deep,elorasch,isotonic,classical,0.0041669095931617765,0.008998661779268575,-0.004831752186106798,-0.010952164183489418,0.00456414914027741,0.4443555644435556,770,unpaired_shared_students,question|f3|cross_family,1.0,False,6
assist2009,question,4,within_deep,dkt,temperature,deep,sakt,temperature,deep,0.006456197985949169,0.0075853255952431625,-0.0011291276092939935,-0.005662910192047373,0.004445213393202363,0.7371262873712628,770,paired,question|f4|within_deep,1.0,False,6
assist2009,question,4,cross_family,dkt,temperature,deep,elorasch,platt,classical,0.006456197985949169,0.007226356411974962,-0.0007701584260257927,-0.007348100114838726,0.004912810809435771,0.797920207979202,770,unpaired_shared_students,question|f4|cross_family,1.0,False,6
assist2012,concept,0,within_deep,sakt,isotonic,deep,dkt,platt,deep,0.0014683367936787607,0.0014745746934751354,-6.237899796374645e-06,-0.0013606154609357834,0.0014043792927190448,0.9973002699730027,5497,paired,concept|f0|within_deep,1.0,False,7
assist2012,concept,1,within_deep,simplekt,isotonic,deep,akt,platt,deep,0.0015184862394203315,0.0019974084116476105,-0.000478922172227279,-0.0017632931221704057,0.00034848445083259926,0.18538146185381463,5497,paired,concept|f1|within_deep,1.0,False,7
assist2012,concept,2,within_deep,simplekt,isotonic,deep,dkt,isotonic,deep,0.001990736129650325,0.00205412019124708,-6.33840615967547e-05,-0.001659298177384077,0.001348224868919062,0.8083191680831917,5497,paired,concept|f2|within_deep,1.0,False,7
assist2012,concept,3,within_deep,dkt,isotonic,deep,akt,platt,deep,0.0019205243690118088,0.0020187438307270617,-9.821946171525292e-05,-0.0010297785240167463,0.0012820975593624893,0.8599140085991401,5497,paired,concept|f3|within_deep,1.0,False,7
assist2012,concept,4,within_deep,akt,platt,deep,dkt,platt,deep,0.0005990677770281811,0.0012198512727260625,-0.0006207834956978815,-0.0014379784705332462,0.0007148589753650169,0.49755024497550243,5497,paired,concept|f4|within_deep,1.0,False,7
assist2012,question,0,within_deep,sakt,isotonic,deep,dkt,platt,deep,0.001471787841390351,0.001480894172796246,-9.106331405894959e-06,-0.0013525445837517139,0.0014099330715722739,0.9853014698530147,5497,paired,question|f0|within_deep,1.0,False,6
assist2012,question,0,cross_family,pfa,isotonic,classical,sakt,isotonic,deep,0.0014185109745155512,0.001471787841390351,-5.327686687479991e-05,-0.0015890488805990538,0.0029332452345454353,0.8667133286671332,5497,unpaired_shared_students,question|f0|cross_family,1.0,False,6
assist2012,question,1,within_deep,simplekt,isotonic,deep,akt,platt,deep,0.0014993504645697084,0.002010390491820786,-0.0005110400272510774,-0.0017603991639993295,0.00033776588959032406,0.18238176182381763,5497,paired,question|f1|within_deep,0.9119088091190881,False,6
assist2012,question,1,cross_family,simplekt,isotonic,deep,pfa_recency,isotonic,classical,0.0014993504645697084,0.001698679699654692,-0.00019932923508498364,-0.002361700152826775,0.0008463255413369771,0.4383561643835616,5497,unpaired_shared_students,question|f1|cross_family,1.0,False,6
assist2012,question,2,within_deep,simplekt,isotonic,deep,dkt,isotonic,deep,0.0019473050027715994,0.002028849484316957,-8.154448154535743e-05,-0.0016466716670670565,0.0013459661404089547,0.8113188681131887,5497,paired,question|f2|within_deep,1.0,False,6
assist2012,question,2,cross_family,elorasch,isotonic,classical,simplekt,isotonic,deep,0.0016446149053240436,0.0019473050027715994,-0.0003026900974475559,-0.001344651849832182,0.0018167145373302266,0.8215178482151785,5497,unpaired_shared_students,question|f2|cross_family,1.0,False,6
