dataset,model,fold,method,ece,auc,brier,n_test
assist2015,dkt,2,none,0.009898,0.727098,0.170562,134592
assist2015,dkt,2,platt,0.004077,0.727098,0.170446,134592
assist2015,dkt,2,isotonic,0.00484,0.726927,0.170531,134592
assist2015,dkt,2,temperature,0.009487,0.727098,0.170552,134592
assist2015,dkt,3,none,0.009877,0.726627,0.170593,134592
assist2015,dkt,3,platt,0.004718,0.726627,0.170494,134592
assist2015,dkt,3,isotonic,0.002231,0.726458,0.170504,134592
assist2015,dkt,3,temperature,0.009303,0.726627,0.170579,134592
assist2015,dkt,4,none,0.006061,0.727083,0.170468,134592
assist2015,dkt,4,platt,0.005214,0.727083,0.17046,134592
assist2015,dkt,4,isotonic,0.004266,0.726952,0.170522,134592
assist2015,dkt,4,temperature,0.002511,0.727083,0.17043,134592
assist2015,sakt,0,none,0.017931,0.704343,0.175394,134592
assist2015,sakt,0,platt,0.004442,0.704343,0.17501,134592
assist2015,sakt,0,isotonic,0.004992,0.704189,0.175036,134592
assist2015,sakt,0,temperature,0.004662,0.704343,0.175011,134592
assist2015,sakt,1,none,0.016211,0.705128,0.175056,134592
assist2015,sakt,1,platt,0.005158,0.705128,0.174756,134592
assist2015,sakt,1,isotonic,0.004901,0.704957,0.174848,134592
assist2015,sakt,1,temperature,0.007288,0.705128,0.174797,134592
assist2015,sakt,2,none,0.023232,0.704935,0.175574,134592
assist2015,sakt,2,platt,0.005241,0.704935,0.17496,134592
assist2015,sakt,2,isotonic,0.006327,0.704703,0.175024,134592
assist2015,sakt,2,temperature,0.007145,0.704935,0.174999,134592
assist2015,sakt,3,none,0.024044,0.704972,0.175562,134592
assist2015,sakt,3,platt,0.005305,0.704972,0.174862,134592
assist2015,sakt,3,isotonic,0.004116,0.704802,0.174899,134592
assist2015,sakt,3,temperature,0.008671,0.704972,0.174935,134592
assist2015,sakt,4,none,0.018367,0.704609,0.17531,134592
assist2015,sakt,4,platt,0.00818,0.704609,0.175036,134592
assist2015,sakt,4,isotonic,0.005595,0.704509,0.175007,134592
assist2015,sakt,4,temperature,0.007612,0.704609,0.174984,134592
assist2015,simplekt,0,none,0.027523,0.717821,0.173268,134592
assist2015,simplekt,0,platt,0.00671,0.717821,0.172354,134592
assist2015,simplekt,0,isotonic,0.005542,0.717644,0.172353,134592
assist2015,simplekt,0,temperature,0.019135,0.717821,0.172917,134592
assist2015,simplekt,1,none,0.014417,0.719167,0.17227,134592
assist2015,simplekt,1,platt,0.004811,0.719167,0.17203,134592
assist2015,simplekt,1,isotonic,0.003963,0.719021,0.172018,134592
assist2015,simplekt,1,temperature,0.009889,0.719167,0.172188,134592
assist2015,simplekt,2,none,0.014495,0.717778,0.172725,134592
assist2015,simplekt,2,platt,0.006127,0.717778,0.172389,134592
assist2015,simplekt,2,isotonic,0.005518,0.717616,0.172433,134592
assist2015,simplekt,2,temperature,0.014214,0.717778,0.172719,134592
assist2015,simplekt,3,none,0.012932,0.717778,0.172551,134592
assist2015,simplekt,3,platt,0.005801,0.717778,0.172366,134592
assist2015,simplekt,3,isotonic,0.006179,0.717629,0.172375,134592
assist2015,simplekt,3,temperature,0.013037,0.717778,0.172553,134592
assist2015,simplekt,4,none,0.031623,0.715733,0.173683,134592
assist2015,simplekt,4,platt,0.005455,0.715733,0.172646,134592
assist2015,simplekt,4,isotonic,0.004736,0.715606,0.172695,134592
assist2015,simplekt,4,temperature,0.006942,0.715733,0.172683,134592
assist2017,akt,0,none,0.015605,0.758263,0.188321,177767
assist2017,akt,0,platt,0.004289,0.758263,0.187967,177767
assist2017,akt,0,isotonic,0.003977,0.758193,0.188035,177767
assist2017,akt,0,temperature,0.014493,0.758263,0.18822,177767
assist2017,akt,1,none,0.015451,0.758171,0.188319,177767
assist2017,akt,1,platt,0.005374,0.758171,0.188016,177767
assist2017,akt,1,isotonic,0.004746,0.758088,0.188063,177767
assist2017,akt,1,temperature,0.014054,0.758171,0.18824,177767
assist2017,akt,2,none,0.017773,0.757625,0.18869,177767
assist2017,akt,2,platt,0.005165,0.757625,0.188187,177767
assist2017,akt,2,isotonic,0.004939,0.757519,0.188262,177767
assist2017,akt,2,temperature,0.019725,0.757625,0.188642,177767
assist2017,akt,3,none,0.017108,0.758611,0.188194,177767
assist2017,akt,3,platt,0.003778,0.758611,0.187803,177767
assist2017,akt,3,isotonic,0.005612,0.758496,0.187873,177767
assist2017,akt,3,temperature,0.015749,0.758611,0.188113,177767
assist2017,akt,4,none,0.021251,0.759508,0.188446,177767
assist2017,akt,4,platt,0.006402,0.759508,0.18763,177767
assist2017,akt,4,isotonic,0.005803,0.759401,0.18768,177767
assist2017,akt,4,temperature,0.023599,0.759508,0.188225,177767
