dataset,granularity,family,model,fold,method,ece_equal_width,ece_equal_mass,best_equal_width,best_equal_mass
algebra2005,question,deep,dkt,1,temperature,0.006895630243694675,0.006920250482448099,temperature,temperature
algebra2005,question,deep,dkt,2,none,0.009055900801549027,0.010332309430308257,platt,platt
algebra2005,question,deep,dkt,2,platt,0.004320255758246756,0.003993619459641738,platt,platt
algebra2005,question,deep,dkt,2,isotonic,0.005416607061297115,0.005462679183130768,platt,platt
algebra2005,question,deep,dkt,2,temperature,0.010364830873464292,0.010672952736936253,platt,platt
algebra2005,question,deep,dkt,3,none,0.009450445962666166,0.009725217063854942,isotonic,isotonic
algebra2005,question,deep,dkt,3,platt,0.005058809324899445,0.005061804574057745,isotonic,isotonic
algebra2005,question,deep,dkt,3,isotonic,0.004145374683256566,0.004573090320636023,isotonic,isotonic
algebra2005,question,deep,dkt,3,temperature,0.009977411878956946,0.010382649629042881,isotonic,isotonic
algebra2005,question,deep,dkt,4,none,0.011837706170316056,0.01158722039916077,isotonic,isotonic
algebra2005,question,deep,dkt,4,platt,0.004280790819193314,0.004492324804672906,isotonic,isotonic
algebra2005,question,deep,dkt,4,isotonic,0.003709444454636354,0.004378483258182121,isotonic,isotonic
algebra2005,question,deep,dkt,4,temperature,0.009965629811024418,0.010505088212055437,isotonic,isotonic
algebra2005,question,deep,sakt,0,none,0.05898694281564368,0.055697821292161984,isotonic,isotonic
algebra2005,question,deep,sakt,0,platt,0.01407683863171134,0.013887928192538403,isotonic,isotonic
algebra2005,question,deep,sakt,0,isotonic,0.009451996387790278,0.009451996387790686,isotonic,isotonic
algebra2005,question,deep,sakt,0,temperature,0.0179734262747916,0.01820761394779397,isotonic,isotonic
algebra2005,question,deep,sakt,1,none,0.057574791543385795,0.057471319597611516,isotonic,isotonic
algebra2005,question,deep,sakt,1,platt,0.012470708716653602,0.011520097341496931,isotonic,isotonic
algebra2005,question,deep,sakt,1,isotonic,0.010279013023199246,0.010279013023198787,isotonic,isotonic
algebra2005,question,deep,sakt,1,temperature,0.02318110634889518,0.02376939031946045,isotonic,isotonic
algebra2005,question,deep,sakt,2,none,0.05358530528807384,0.05305650008069289,isotonic,isotonic
algebra2005,question,deep,sakt,2,platt,0.011679627669532825,0.010992943968596364,isotonic,isotonic
algebra2005,question,deep,sakt,2,isotonic,0.006375238680334716,0.006224695330538451,isotonic,isotonic
algebra2005,question,deep,sakt,2,temperature,0.023086909372561786,0.02351486125443918,isotonic,isotonic
algebra2005,question,deep,sakt,3,none,0.0507204863091078,0.05049263112593468,isotonic,isotonic
algebra2005,question,deep,sakt,3,platt,0.013258050853704567,0.013274695823221433,isotonic,isotonic
algebra2005,question,deep,sakt,3,isotonic,0.006511678369181776,0.006760802919678023,isotonic,isotonic
algebra2005,question,deep,sakt,3,temperature,0.03525089203851001,0.03626015819933522,isotonic,isotonic
algebra2005,question,deep,sakt,4,none,0.05168080047339848,0.05118489644413369,isotonic,isotonic
algebra2005,question,deep,sakt,4,platt,0.010565116140825033,0.01099797176569602,isotonic,isotonic
algebra2005,question,deep,sakt,4,isotonic,0.004657631681734592,0.005105693521313584,isotonic,isotonic
algebra2005,question,deep,sakt,4,temperature,0.026376528546296008,0.027359531456579083,isotonic,isotonic
algebra2005,question,deep,akt,0,none,0.02222141696702365,0.021144115337027296,isotonic,isotonic
algebra2005,question,deep,akt,0,platt,0.018262230134676233,0.01825996420122472,isotonic,isotonic
algebra2005,question,deep,akt,0,isotonic,0.009306129569640983,0.00940491611640425,isotonic,isotonic
algebra2005,question,deep,akt,0,temperature,0.019987245281255214,0.019336108228132625,isotonic,isotonic
algebra2005,question,deep,akt,1,none,0.024972267470009153,0.0241607273118511,isotonic,isotonic
algebra2005,question,deep,akt,1,platt,0.015268883295469552,0.016272822010575935,isotonic,isotonic
algebra2005,question,deep,akt,1,isotonic,0.010154991167907343,0.010543714474764763,isotonic,isotonic
algebra2005,question,deep,akt,1,temperature,0.01824112328297811,0.019021693937432853,isotonic,isotonic
algebra2005,question,deep,akt,2,none,0.026762617677121008,0.025963585991715554,isotonic,isotonic
algebra2005,question,deep,akt,2,platt,0.016819176366650736,0.018203650602449477,isotonic,isotonic
algebra2005,question,deep,akt,2,isotonic,0.006110668513372631,0.0061349782515224965,isotonic,isotonic
algebra2005,question,deep,akt,2,temperature,0.01796923818398705,0.018489631708830934,isotonic,isotonic
algebra2005,question,deep,akt,3,none,0.03547684221851649,0.034200773575770595,isotonic,isotonic
algebra2005,question,deep,akt,3,platt,0.01812057257919315,0.019139046059104166,isotonic,isotonic
algebra2005,question,deep,akt,3,isotonic,0.003602366896473805,0.004384366281214701,isotonic,isotonic
algebra2005,question,deep,akt,3,temperature,0.016938577330694544,0.017179669658119616,isotonic,isotonic
algebra2005,question,deep,akt,4,none,0.02655652267470019,0.025503499919307088,isotonic,isotonic
algebra2005,question,deep,akt,4,platt,0.017204357100465792,0.017795974433567462,isotonic,isotonic
algebra2005,question,deep,akt,4,isotonic,0.0038247446275455413,0.0038699951308970625,isotonic,isotonic
algebra2005,question,deep,akt,4,temperature,0.016118439941207315,0.016716503313267215,isotonic,isotonic
algebra2005,question,deep,simplekt,0,none,0.05390192909785373,0.05362557426434986,isotonic,isotonic
algebra2005,question,deep,simplekt,0,platt,0.008114205955853708,0.009276991469443262,isotonic,isotonic
algebra2005,question,deep,simplekt,0,isotonic,0.008114021450333847,0.008227058353040495,isotonic,isotonic
algebra2005,question,deep,simplekt,0,temperature,0.044530931305843215,0.04601369206402043,isotonic,isotonic
algebra2005,question,deep,simplekt,1,none,0.04926466189682044,0.04882404432729033,isotonic,isotonic
algebra2005,question,deep,simplekt,1,platt,0.017339394079326297,0.01544293080539764,isotonic,isotonic
algebra2005,question,deep,simplekt,1,isotonic,0.011320260666461628,0.011320260666461872,isotonic,isotonic
algebra2005,question,deep,simplekt,1,temperature,0.019294094374059136,0.0191243999494682,isotonic,isotonic
algebra2005,question,deep,simplekt,2,none,0.0654253666146645,0.06321599978481895,isotonic,isotonic
algebra2005,question,deep,simplekt,2,platt,0.009945991289896249,0.011217531414741083,isotonic,isotonic
algebra2005,question,deep,simplekt,2,isotonic,0.004745092357259205,0.004832188262343369,isotonic,isotonic
algebra2005,question,deep,simplekt,2,temperature,0.011276192323906085,0.012261432327719661,isotonic,isotonic
algebra2005,question,deep,simplekt,3,none,0.0668053633869497,0.06655949109688526,isotonic,isotonic
algebra2005,question,deep,simplekt,3,platt,0.01067053552628573,0.010899246799317901,isotonic,isotonic
algebra2005,question,deep,simplekt,3,isotonic,0.0029702847470003415,0.0043933380854978095,isotonic,isotonic
algebra2005,question,deep,simplekt,3,temperature,0.01347721352621928,0.015824288337564246,isotonic,isotonic
algebra2005,question,deep,simplekt,4,none,0.042425616224649035,0.04233719834310619,isotonic,isotonic
algebra2005,question,deep,simplekt,4,platt,0.022666623861301905,0.022538026198905377,isotonic,isotonic
algebra2005,question,deep,simplekt,4,isotonic,0.005607125769904195,0.005323936391531032,isotonic,isotonic
algebra2005,question,deep,simplekt,4,temperature,0.034192428007279736,0.03461655604375846,isotonic,isotonic
algebra2005,question,classical,bkt,0,none,0.011568025069136246,0.01181817879424421,none,none
algebra2005,question,classical,bkt,0,platt,0.01633353528496067,0.01673443125217673,none,none
algebra2005,question,classical,bkt,0,isotonic,0.015110266657257995,0.015084595273786106,none,none
algebra2005,question,classical,bkt,0,temperature,0.012506752179265392,0.013378954939550115,none,none
algebra2005,question,classical,bkt,1,none,0.014804421071967219,0.014433227762466508,temperature,none
algebra2005,question,classical,bkt,1,platt,0.018466844219196945,0.019603448305310352,temperature,none
algebra2005,question,classical,bkt,1,isotonic,0.015133122592670823,0.015846836466821324,temperature,none
algebra2005,question,classical,bkt,1,temperature,0.012128590041425767,0.015017611403677616,temperature,none
algebra2005,question,classical,bkt,2,none,0.010821430607099707,0.011115733387601955,isotonic,isotonic
algebra2005,question,classical,bkt,2,platt,0.010087541381952331,0.009751550511968948,isotonic,isotonic
algebra2005,question,classical,bkt,2,isotonic,0.006888366980513815,0.007349738893389601,isotonic,isotonic
algebra2005,question,classical,bkt,2,temperature,0.009066518113827825,0.010331795619782693,isotonic,isotonic
algebra2005,question,classical,bkt,3,none,0.010838485938406675,0.012451691175607488,isotonic,isotonic
algebra2005,question,classical,bkt,3,platt,0.011308048739718848,0.00944795713614787,isotonic,isotonic
algebra2005,question,classical,bkt,3,isotonic,0.008437443657098913,0.007180733215329664,isotonic,isotonic
algebra2005,question,classical,bkt,3,temperature,0.010039585624444607,0.010503963215674235,isotonic,isotonic
algebra2005,question,classical,bkt,4,none,0.01311300644278719,0.012400969768944902,isotonic,isotonic
algebra2005,question,classical,bkt,4,platt,0.011607924737039421,0.009204770822228208,isotonic,isotonic
algebra2005,question,classical,bkt,4,isotonic,0.006502154496033667,0.0060952128315200586,isotonic,isotonic
algebra2005,question,classical,bkt,4,temperature,0.010123306250107402,0.010603198043674733,isotonic,isotonic
algebra2005,question,classical,pfa,0,none,0.03289777408588202,0.03484869429006961,isotonic,isotonic
algebra2005,question,classical,pfa,0,platt,0.018107503373279963,0.019673830113870784,isotonic,isotonic
algebra2005,question,classical,pfa,0,isotonic,0.01320170721342882,0.011649538824032241,isotonic,isotonic
algebra2005,question,classical,pfa,0,temperature,0.05418289775949529,0.05418289775949556,isotonic,isotonic
algebra2005,question,classical,pfa,1,none,0.03531520490245504,0.03738078558816321,isotonic,isotonic
algebra2005,question,classical,pfa,1,platt,0.021192292923012626,0.019966212717485214,isotonic,isotonic
algebra2005,question,classical,pfa,1,isotonic,0.017406892487471258,0.01530357343734173,isotonic,isotonic
algebra2005,question,classical,pfa,1,temperature,0.05406897471911334,0.05406897471911337,isotonic,isotonic
algebra2005,question,classical,pfa,2,none,0.03593191749589054,0.03765498212297744,isotonic,isotonic
algebra2005,question,classical,pfa,2,platt,0.01322099985578923,0.01774516939879585,isotonic,isotonic
algebra2005,question,classical,pfa,2,isotonic,0.003996781999085031,0.0033056296463224266,isotonic,isotonic
algebra2005,question,classical,pfa,2,temperature,0.04997690776826436,0.049976907768264585,isotonic,isotonic
algebra2005,question,classical,pfa,3,none,0.03302954771471978,0.03485781047401429,isotonic,isotonic
algebra2005,question,classical,pfa,3,platt,0.011701781261693826,0.014667688156517446,isotonic,isotonic
algebra2005,question,classical,pfa,3,isotonic,0.00524731946135073,0.007227157720219272,isotonic,isotonic
algebra2005,question,classical,pfa,3,temperature,0.04376134618414196,0.04409722335570755,isotonic,isotonic
algebra2005,question,classical,pfa,4,none,0.03752134876530182,0.03869641973648966,isotonic,isotonic
algebra2005,question,classical,pfa,4,platt,0.008729436195264152,0.012426729828636828,isotonic,isotonic
algebra2005,question,classical,pfa,4,isotonic,0.006212237989740156,0.005682274879604755,isotonic,isotonic
algebra2005,question,classical,pfa,4,temperature,0.04509301524102619,0.04466183429105308,isotonic,isotonic
algebra2005,question,classical,pfa_recency,0,none,0.03593917063661292,0.039825709612716385,isotonic,isotonic
algebra2005,question,classical,pfa_recency,0,platt,0.017868699923528266,0.023723224946161258,isotonic,isotonic
algebra2005,question,classical,pfa_recency,0,isotonic,0.012892235475268115,0.011767362529039354,isotonic,isotonic
algebra2005,question,classical,pfa_recency,0,temperature,0.06634123617953233,0.06634123617953223,isotonic,isotonic
