dataset,model,fold,method,ece_none,ece_mismatched_fit,ece_coherent_fit,delta_ece,ratio,ci_low,ci_high,p,n_valid_coherent,n_valid_mismatched,n_test,n_students,family_key,p_holm,reject_holm,family_size
algebra2005,akt,3,temperature,0.03547684221851649,0.051398327835120654,0.016938577330694544,0.03445975050442611,3.0343946148287966,0.0256058135112641,0.04033320576296321,0.00019998000199980003,94885,95275,92945,114,temperature|f3,0.004599540045995401,True,23
algebra2005,akt,4,platt,0.02655652267470019,0.051106879991639445,0.017204357100465792,0.03390252289117365,2.9705777259329134,0.028377682285604132,0.03886075184159646,0.00019998000199980003,89450,89796,92945,114,platt|f4,0.004599540045995401,True,23
algebra2005,akt,4,isotonic,0.02655652267470019,0.06071361873792564,0.0038247446275455413,0.0568888741103801,15.873901305899075,0.04685937523435009,0.059976231042956955,0.00019998000199980003,89450,89796,92945,114,isotonic|f4,0.004599540045995401,True,23
algebra2005,akt,4,temperature,0.02655652267470019,0.0487716723692751,0.016118439941207315,0.03265323242806778,3.0258308215417755,0.020886964791978362,0.04004864859690252,0.00019998000199980003,89450,89796,92945,114,temperature|f4,0.004599540045995401,True,23
algebra2005,simplekt,0,platt,0.05390192909785373,0.05695674702184658,0.008114205955853708,0.048842541065992874,7.019386410910256,0.036240182756343754,0.05566015959745414,0.00019998000199980003,112859,113319,92945,114,platt|f0,0.004599540045995401,True,23
algebra2005,simplekt,0,isotonic,0.05390192909785373,0.06742884319130119,0.008114021450333847,0.05931482174096734,8.31016329005722,0.042840692499353135,0.0715581916869787,0.00019998000199980003,112859,113319,92945,114,isotonic|f0,0.004599540045995401,True,23
algebra2005,simplekt,0,temperature,0.05390192909785373,0.05745177819070262,0.044530931305843215,0.012920846884859408,1.2901544276295873,0.0024807556104772368,0.02390464869534813,0.011998800119988001,112859,113319,92945,114,temperature|f0,0.131986801319868,False,23
algebra2005,simplekt,1,platt,0.04926466189682044,0.0618694344309112,0.017339394079326297,0.0445300403515849,3.568142816748016,0.036478785903103245,0.049912154473458106,0.00019998000199980003,111871,112298,92945,114,platt|f1,0.004599540045995401,True,23
algebra2005,simplekt,1,isotonic,0.04926466189682044,0.06831412823264194,0.011320260666461628,0.05699386756618031,6.034678020713359,0.04070241192921462,0.06824790295439975,0.00019998000199980003,111871,112298,92945,114,isotonic|f1,0.004599540045995401,True,23
algebra2005,simplekt,1,temperature,0.04926466189682044,0.05315704674280987,0.019294094374059136,0.03386295236875073,2.755094160536469,0.018996762341421676,0.041884080570452245,0.00019998000199980003,111871,112298,92945,114,temperature|f1,0.004599540045995401,True,23
algebra2005,simplekt,2,platt,0.0654253666146645,0.05519347764421759,0.009945991289896249,0.04524748635432134,5.549318920104678,0.03688863256341091,0.05041805238292204,0.00019998000199980003,100740,101122,92945,114,platt|f2,0.004599540045995401,True,23
algebra2005,simplekt,2,isotonic,0.0654253666146645,0.0696034672033599,0.004745092357259205,0.0648583748461007,14.668516851284913,0.048481526982068236,0.07171104943015068,0.00019998000199980003,100740,101122,92945,114,isotonic|f2,0.004599540045995401,True,23
algebra2005,simplekt,2,temperature,0.0654253666146645,0.05097647424331114,0.011276192323906085,0.039700281919405056,4.5207169919617725,0.026512188490308803,0.0470500840318272,0.00019998000199980003,100740,101122,92945,114,temperature|f2,0.004599540045995401,True,23
algebra2005,simplekt,3,platt,0.0668053633869497,0.05690426644745603,0.01067053552628573,0.0462337309211703,5.3328407283100665,0.039154789849458395,0.050411304622286386,0.00019998000199980003,94885,95275,92945,114,platt|f3,0.004599540045995401,True,23
algebra2005,simplekt,3,isotonic,0.0668053633869497,0.07199307989875632,0.0029702847470003415,0.06902279515175598,24.237770460041368,0.056117079187650486,0.07102457417198674,0.00019998000199980003,94885,95275,92945,114,isotonic|f3,0.004599540045995401,True,23
algebra2005,simplekt,3,temperature,0.0668053633869497,0.053387663179666,0.01347721352621928,0.03991044965344672,3.9613279908196772,0.026458753502605337,0.04790063741463093,0.00019998000199980003,94885,95275,92945,114,temperature|f3,0.004599540045995401,True,23
algebra2005,simplekt,4,platt,0.042425616224649035,0.06393484635621423,0.022666623861301905,0.04126822249491233,2.8206603130415204,0.03568266989051985,0.04643589146673182,0.00019998000199980003,89450,89796,92945,114,platt|f4,0.004599540045995401,True,23
algebra2005,simplekt,4,isotonic,0.042425616224649035,0.07718242537249759,0.005607125769904195,0.07157529960259339,13.76506048549297,0.06225106833208779,0.07432870511594379,0.00019998000199980003,89450,89796,92945,114,isotonic|f4,0.004599540045995401,True,23
algebra2005,simplekt,4,temperature,0.042425616224649035,0.0630127842337572,0.034192428007279736,0.02882035622647746,1.8428870924387546,0.016631284562687622,0.04247413290401235,0.00019998000199980003,89450,89796,92945,114,temperature|f4,0.004599540045995401,True,23
assist2009,dkt,0,platt,0.009353178704023097,0.03454689412827311,0.011849112771167111,0.022697781357105998,2.9155680087995584,0.011200144581093743,0.03095247836076472,0.00019998000199980003,43171,43342,52254,770,platt|f0,0.004599540045995401,True,23
assist2009,dkt,0,isotonic,0.009353178704023097,0.039177442190114646,0.011967688904565404,0.02720975328554924,3.2736013195638245,0.019094311242525034,0.03355110707004833,0.00019998000199980003,43171,43342,52254,770,isotonic|f0,0.004599540045995401,True,23
assist2009,dkt,0,temperature,0.009353178704023097,0.0332380129672835,0.005372816486357153,0.02786519648092635,6.186329470154554,0.016053750251834874,0.033347077820710745,0.00019998000199980003,43171,43342,52254,770,temperature|f0,0.004599540045995401,True,23
assist2009,dkt,1,platt,0.008750863091820481,0.0314641850583116,0.015137436368822659,0.01632674868948894,2.0785676181678827,0.0059520748641061945,0.026238507368414037,0.0025997400259974,43942,44092,52254,770,platt|f1,0.0363963603639636,True,23
assist2009,dkt,1,isotonic,0.008750863091820481,0.03522663255594955,0.015119137649297726,0.020107494906651827,2.3299366255578606,0.012383536283698373,0.026260413812428326,0.00019998000199980003,43942,44092,52254,770,isotonic|f1,0.004599540045995401,True,23
assist2009,dkt,1,temperature,0.008750863091820481,0.03050985052275414,0.00886008575060767,0.02164976477214647,3.4435163926784362,0.013086300151683801,0.027018651699220048,0.00019998000199980003,43942,44092,52254,770,temperature|f1,0.004599540045995401,True,23
assist2009,dkt,2,platt,0.011353559536112005,0.03972746882125065,0.013860738111534598,0.025866730709716054,2.8661871035706485,0.01454558920024216,0.03430871241544372,0.00019998000199980003,43884,44044,52254,770,platt|f2,0.004599540045995401,True,23
assist2009,dkt,2,isotonic,0.011353559536112005,0.04504970113587111,0.013669099759398588,0.03138060137647252,3.2957328521138254,0.023993154102405677,0.03543493754353748,0.00019998000199980003,43884,44044,52254,770,isotonic|f2,0.004599540045995401,True,23
assist2009,dkt,2,temperature,0.011353559536112005,0.03751754875419532,0.008059082870173392,0.029458465884021928,4.655312441698236,0.021395112980577696,0.03209497977760009,0.00019998000199980003,43884,44044,52254,770,temperature|f2,0.004599540045995401,True,23
assist2009,dkt,3,platt,0.013117269491331013,0.033805813823250715,0.013098877995793392,0.02070693582745732,2.5808175199514953,0.010377665322025904,0.02840741143744051,0.00039996000399960006,49836,50010,52254,770,platt|f3,0.005599440055994401,True,23
assist2009,dkt,3,isotonic,0.013117269491331013,0.03873253131130702,0.014107965306521099,0.024624566004785922,2.7454370966877666,0.01678731599452356,0.030207133777239246,0.00019998000199980003,49836,50010,52254,770,isotonic|f3,0.004599540045995401,True,23
assist2009,dkt,3,temperature,0.013117269491331013,0.03271107442299867,0.0041669095931617765,0.028544164829836894,7.850200176332142,0.019070689868263397,0.02916856168628973,0.00019998000199980003,49836,50010,52254,770,temperature|f3,0.004599540045995401,True,23
assist2009,dkt,4,platt,0.01750907490335706,0.032506177765954734,0.008555661616429915,0.02395051614952482,3.7993762754164218,0.013776923314018023,0.02970857417947467,0.00019998000199980003,44892,45066,52254,770,platt|f4,0.004599540045995401,True,23
assist2009,dkt,4,isotonic,0.01750907490335706,0.03455520184176351,0.006879966818793548,0.02767523502296996,5.022582630394576,0.018702768786900612,0.030973839602154257,0.00019998000199980003,44892,45066,52254,770,isotonic|f4,0.004599540045995401,True,23
assist2009,dkt,4,temperature,0.01750907490335706,0.02997237786170141,0.006456197985949169,0.02351617987575224,4.642419257732067,0.012717293558172778,0.027845779607852745,0.00019998000199980003,44892,45066,52254,770,temperature|f4,0.004599540045995401,True,23
