dataset,model,fold,method,ece,auc,brier,n_test,n_valid,pipeline
assist2009,akt,1,isotonic,0.012988,0.758109,0.184934,52254,43942,leakfree_pykt_v4
assist2009,akt,1,temperature,0.005211,0.7586,0.184611,52254,43942,leakfree_pykt_v4
assist2009,akt,2,none,0.018708,0.760558,0.184417,52254,43884,leakfree_pykt_v4
assist2009,akt,2,platt,0.014653,0.760558,0.184314,52254,43884,leakfree_pykt_v4
assist2009,akt,2,isotonic,0.013573,0.760186,0.184322,52254,43884,leakfree_pykt_v4
assist2009,akt,2,temperature,0.006608,0.760558,0.184056,52254,43884,leakfree_pykt_v4
assist2009,akt,3,none,0.018946,0.758337,0.185216,52254,49836,leakfree_pykt_v4
assist2009,akt,3,platt,0.014283,0.758337,0.185059,52254,49836,leakfree_pykt_v4
assist2009,akt,3,isotonic,0.01399,0.758074,0.185051,52254,49836,leakfree_pykt_v4
assist2009,akt,3,temperature,0.007022,0.758337,0.184841,52254,49836,leakfree_pykt_v4
assist2009,akt,4,none,0.028664,0.759084,0.185272,52254,44892,leakfree_pykt_v4
assist2009,akt,4,platt,0.010999,0.759084,0.184653,52254,44892,leakfree_pykt_v4
assist2009,akt,4,isotonic,0.00786,0.758719,0.184661,52254,44892,leakfree_pykt_v4
assist2009,akt,4,temperature,0.010796,0.759084,0.184641,52254,44892,leakfree_pykt_v4
assist2009,dkt,0,none,0.009353,0.74995,0.187436,52254,43171,leakfree_pykt_v4
assist2009,dkt,0,platt,0.011849,0.74995,0.187569,52254,43171,leakfree_pykt_v4
assist2009,dkt,0,isotonic,0.011968,0.749547,0.18772,52254,43171,leakfree_pykt_v4
assist2009,dkt,0,temperature,0.005373,0.74995,0.187352,52254,43171,leakfree_pykt_v4
assist2009,dkt,1,none,0.008751,0.748007,0.187958,52254,43942,leakfree_pykt_v4
assist2009,dkt,1,platt,0.015137,0.748007,0.188176,52254,43942,leakfree_pykt_v4
assist2009,dkt,1,isotonic,0.015119,0.747824,0.188284,52254,43942,leakfree_pykt_v4
assist2009,dkt,1,temperature,0.00886,0.748007,0.187958,52254,43942,leakfree_pykt_v4
assist2009,dkt,2,none,0.011354,0.751352,0.186862,52254,43884,leakfree_pykt_v4
assist2009,dkt,2,platt,0.013861,0.751352,0.186898,52254,43884,leakfree_pykt_v4
assist2009,dkt,2,isotonic,0.013669,0.750975,0.187028,52254,43884,leakfree_pykt_v4
assist2009,dkt,2,temperature,0.008059,0.751352,0.186764,52254,43884,leakfree_pykt_v4
assist2009,dkt,3,none,0.013117,0.751708,0.186896,52254,49836,leakfree_pykt_v4
assist2009,dkt,3,platt,0.013099,0.751708,0.18689,52254,49836,leakfree_pykt_v4
assist2009,dkt,3,isotonic,0.014108,0.751548,0.186956,52254,49836,leakfree_pykt_v4
assist2009,dkt,3,temperature,0.004167,0.751708,0.186725,52254,49836,leakfree_pykt_v4
assist2009,dkt,4,none,0.017509,0.752466,0.186592,52254,44892,leakfree_pykt_v4
assist2009,dkt,4,platt,0.008556,0.752466,0.186298,52254,44892,leakfree_pykt_v4
assist2009,dkt,4,isotonic,0.00688,0.752134,0.18644,52254,44892,leakfree_pykt_v4
assist2009,dkt,4,temperature,0.006456,0.752466,0.186266,52254,44892,leakfree_pykt_v4
assist2009,sakt,0,none,0.04486,0.728623,0.195636,52254,43171,leakfree_pykt_v4
assist2009,sakt,0,platt,0.013043,0.728623,0.193345,52254,43171,leakfree_pykt_v4
assist2009,sakt,0,isotonic,0.013432,0.728351,0.193547,52254,43171,leakfree_pykt_v4
assist2009,sakt,0,temperature,0.013459,0.728623,0.193506,52254,43171,leakfree_pykt_v4
assist2009,sakt,1,none,0.046014,0.731512,0.195013,52254,43942,leakfree_pykt_v4
assist2009,sakt,1,platt,0.01153,0.731512,0.192765,52254,43942,leakfree_pykt_v4
assist2009,sakt,1,isotonic,0.011223,0.731309,0.192848,52254,43942,leakfree_pykt_v4
assist2009,sakt,1,temperature,0.007716,0.731512,0.192586,52254,43942,leakfree_pykt_v4
assist2009,sakt,2,none,0.041747,0.729705,0.195113,52254,43884,leakfree_pykt_v4
assist2009,sakt,2,platt,0.014382,0.729705,0.193325,52254,43884,leakfree_pykt_v4
assist2009,sakt,2,isotonic,0.015241,0.729396,0.193531,52254,43884,leakfree_pykt_v4
assist2009,sakt,2,temperature,0.006323,0.729705,0.193141,52254,43884,leakfree_pykt_v4
assist2009,sakt,3,none,0.048571,0.729143,0.195765,52254,49836,leakfree_pykt_v4
assist2009,sakt,3,platt,0.011411,0.729143,0.193279,52254,49836,leakfree_pykt_v4
assist2009,sakt,3,isotonic,0.014454,0.729061,0.19349,52254,49836,leakfree_pykt_v4
assist2009,sakt,3,temperature,0.010138,0.729143,0.193246,52254,49836,leakfree_pykt_v4
assist2009,sakt,4,none,0.037117,0.728576,0.194916,52254,44892,leakfree_pykt_v4
assist2009,sakt,4,platt,0.010168,0.728576,0.193533,52254,44892,leakfree_pykt_v4
assist2009,sakt,4,isotonic,0.011027,0.728156,0.193994,52254,44892,leakfree_pykt_v4
assist2009,sakt,4,temperature,0.007585,0.728576,0.193434,52254,44892,leakfree_pykt_v4
assist2009,simplekt,0,none,0.079748,0.763575,0.191806,52254,43171,leakfree_pykt_v4
assist2009,simplekt,0,platt,0.014285,0.763575,0.184793,52254,43171,leakfree_pykt_v4
assist2009,simplekt,0,isotonic,0.010529,0.763322,0.184682,52254,43171,leakfree_pykt_v4
assist2009,simplekt,0,temperature,0.010038,0.763575,0.184611,52254,43171,leakfree_pykt_v4
assist2009,simplekt,1,none,0.126441,0.760676,0.204737,52254,43942,leakfree_pykt_v4
assist2009,simplekt,1,platt,0.017,0.760676,0.185781,52254,43942,leakfree_pykt_v4
assist2009,simplekt,1,isotonic,0.015658,0.760521,0.18559,52254,43942,leakfree_pykt_v4
assist2009,simplekt,1,temperature,0.047441,0.760676,0.188019,52254,43942,leakfree_pykt_v4
assist2009,simplekt,2,none,0.025203,0.759104,0.186988,52254,43884,leakfree_pykt_v4
assist2009,simplekt,2,platt,0.018653,0.759104,0.186664,52254,43884,leakfree_pykt_v4
assist2009,simplekt,2,isotonic,0.017392,0.758863,0.186558,52254,43884,leakfree_pykt_v4
assist2009,simplekt,2,temperature,0.013968,0.759104,0.18649,52254,43884,leakfree_pykt_v4
assist2009,simplekt,3,none,0.057081,0.767424,0.186466,52254,49836,leakfree_pykt_v4
assist2009,simplekt,3,platt,0.016002,0.767424,0.183013,52254,49836,leakfree_pykt_v4
assist2009,simplekt,3,isotonic,0.015927,0.767085,0.183004,52254,49836,leakfree_pykt_v4
assist2009,simplekt,3,temperature,0.020804,0.767424,0.183195,52254,49836,leakfree_pykt_v4
assist2009,simplekt,4,none,0.112814,0.766135,0.197373,52254,44892,leakfree_pykt_v4
assist2009,simplekt,4,platt,0.011757,0.766135,0.183303,52254,44892,leakfree_pykt_v4
assist2009,simplekt,4,isotonic,0.008854,0.765803,0.183303,52254,44892,leakfree_pykt_v4
assist2009,simplekt,4,temperature,0.009984,0.766135,0.183226,52254,44892,leakfree_pykt_v4
assist2012,akt,0,none,0.014995,0.772909,0.168261,536087,439766,leakfree_pykt_v4
assist2012,akt,0,platt,0.001522,0.772909,0.168007,536087,439766,leakfree_pykt_v4
assist2012,akt,0,isotonic,0.001847,0.772851,0.168024,536087,439766,leakfree_pykt_v4
assist2012,akt,0,temperature,0.004805,0.772909,0.168034,536087,439766,leakfree_pykt_v4
assist2012,akt,1,none,0.014902,0.772772,0.168316,536087,432602,leakfree_pykt_v4
assist2012,akt,1,platt,0.00201,0.772772,0.168056,536087,432602,leakfree_pykt_v4
assist2012,akt,1,isotonic,0.002734,0.772734,0.168087,536087,432602,leakfree_pykt_v4
assist2012,akt,1,temperature,0.004195,0.772772,0.168079,536087,432602,leakfree_pykt_v4
assist2012,akt,2,none,0.014593,0.771735,0.168718,536087,424912,leakfree_pykt_v4
assist2012,akt,2,platt,0.002406,0.771735,0.168477,536087,424912,leakfree_pykt_v4
assist2012,akt,2,isotonic,0.002123,0.771684,0.168509,536087,424912,leakfree_pykt_v4
assist2012,akt,2,temperature,0.002619,0.771735,0.168489,536087,424912,leakfree_pykt_v4
assist2012,akt,3,none,0.014001,0.771509,0.168699,536087,419158,leakfree_pykt_v4
assist2012,akt,3,platt,0.002021,0.771509,0.168476,536087,419158,leakfree_pykt_v4
assist2012,akt,3,isotonic,0.002215,0.771432,0.168505,536087,419158,leakfree_pykt_v4
assist2012,akt,3,temperature,0.002186,0.771509,0.168477,536087,419158,leakfree_pykt_v4
assist2012,akt,4,none,0.012415,0.772492,0.168315,536087,423475,leakfree_pykt_v4
assist2012,akt,4,platt,0.000583,0.772492,0.168133,536087,423475,leakfree_pykt_v4
assist2012,akt,4,isotonic,0.001843,0.77244,0.168147,536087,423475,leakfree_pykt_v4
assist2012,akt,4,temperature,0.004293,0.772492,0.168161,536087,423475,leakfree_pykt_v4
assist2012,dkt,0,none,0.007335,0.729251,0.180473,536087,439766,leakfree_pykt_v4
assist2012,dkt,0,platt,0.001481,0.729251,0.180418,536087,439766,leakfree_pykt_v4
assist2012,dkt,0,isotonic,0.001882,0.729196,0.180439,536087,439766,leakfree_pykt_v4
assist2012,dkt,0,temperature,0.003891,0.729251,0.18045,536087,439766,leakfree_pykt_v4
assist2012,dkt,1,none,0.004072,0.729305,0.180412,536087,432602,leakfree_pykt_v4
assist2012,dkt,1,platt,0.002387,0.729305,0.180399,536087,432602,leakfree_pykt_v4
assist2012,dkt,1,isotonic,0.002343,0.729238,0.180421,536087,432602,leakfree_pykt_v4
assist2012,dkt,1,temperature,0.003361,0.729305,0.18041,536087,432602,leakfree_pykt_v4
assist2012,dkt,2,none,0.003412,0.728927,0.180486,536087,424912,leakfree_pykt_v4
assist2012,dkt,2,platt,0.002603,0.728927,0.18048,536087,424912,leakfree_pykt_v4
assist2012,dkt,2,isotonic,0.002029,0.728877,0.180494,536087,424912,leakfree_pykt_v4
assist2012,dkt,2,temperature,0.002801,0.728927,0.180483,536087,424912,leakfree_pykt_v4
assist2012,dkt,3,none,0.002799,0.730108,0.180193,536087,419158,leakfree_pykt_v4
assist2012,dkt,3,platt,0.002815,0.730108,0.180191,536087,419158,leakfree_pykt_v4
assist2012,dkt,3,isotonic,0.001904,0.730049,0.180218,536087,419158,leakfree_pykt_v4
assist2012,dkt,3,temperature,0.002472,0.730108,0.180192,536087,419158,leakfree_pykt_v4
assist2012,dkt,4,none,0.010045,0.730273,0.180266,536087,423475,leakfree_pykt_v4
assist2012,dkt,4,platt,0.001205,0.730273,0.180158,536087,423475,leakfree_pykt_v4
assist2012,dkt,4,isotonic,0.002044,0.730242,0.180168,536087,423475,leakfree_pykt_v4
assist2012,dkt,4,temperature,0.003549,0.730273,0.180177,536087,423475,leakfree_pykt_v4
assist2012,sakt,0,none,0.007024,0.707337,0.18621,536087,439766,leakfree_pykt_v4
assist2012,sakt,0,platt,0.00332,0.707337,0.186078,536087,439766,leakfree_pykt_v4
assist2012,sakt,0,isotonic,0.001472,0.707291,0.186085,536087,439766,leakfree_pykt_v4
assist2012,sakt,0,temperature,0.007857,0.707337,0.186206,536087,439766,leakfree_pykt_v4
assist2012,sakt,1,none,0.012005,0.706859,0.186329,536087,432602,leakfree_pykt_v4
assist2012,sakt,1,platt,0.004428,0.706859,0.186141,536087,432602,leakfree_pykt_v4
assist2012,sakt,1,isotonic,0.003181,0.706736,0.186157,536087,432602,leakfree_pykt_v4
assist2012,sakt,1,temperature,0.005232,0.706859,0.186228,536087,432602,leakfree_pykt_v4
assist2012,sakt,2,none,0.009292,0.706678,0.186358,536087,424912,leakfree_pykt_v4
assist2012,sakt,2,platt,0.005449,0.706678,0.186234,536087,424912,leakfree_pykt_v4
assist2012,sakt,2,isotonic,0.003684,0.706581,0.186235,536087,424912,leakfree_pykt_v4
assist2012,sakt,2,temperature,0.006616,0.706678,0.186323,536087,424912,leakfree_pykt_v4
assist2012,sakt,3,none,0.007879,0.706494,0.186429,536087,419158,leakfree_pykt_v4
assist2012,sakt,3,platt,0.005703,0.706494,0.186311,536087,419158,leakfree_pykt_v4
assist2012,sakt,3,isotonic,0.003596,0.706444,0.186312,536087,419158,leakfree_pykt_v4
assist2012,sakt,3,temperature,0.007231,0.706494,0.186416,536087,419158,leakfree_pykt_v4
assist2012,sakt,4,none,0.025632,0.70786,0.186744,536087,423475,leakfree_pykt_v4
assist2012,sakt,4,platt,0.004082,0.70786,0.186038,536087,423475,leakfree_pykt_v4
assist2012,sakt,4,isotonic,0.001373,0.707791,0.186026,536087,423475,leakfree_pykt_v4
assist2012,sakt,4,temperature,0.005553,0.70786,0.186049,536087,423475,leakfree_pykt_v4
assist2012,simplekt,0,none,0.017436,0.769188,0.169463,536087,439766,leakfree_pykt_v4
assist2012,simplekt,0,platt,0.002962,0.769188,0.169019,536087,439766,leakfree_pykt_v4
assist2012,simplekt,0,isotonic,0.001783,0.769126,0.169033,536087,439766,leakfree_pykt_v4
assist2012,simplekt,0,temperature,0.01717,0.769188,0.169458,536087,439766,leakfree_pykt_v4
assist2012,simplekt,1,none,0.019075,0.770273,0.169345,536087,432602,leakfree_pykt_v4
assist2012,simplekt,1,platt,0.001595,0.770273,0.168777,536087,432602,leakfree_pykt_v4
assist2012,simplekt,1,isotonic,0.001499,0.770216,0.16879,536087,432602,leakfree_pykt_v4
assist2012,simplekt,1,temperature,0.018955,0.770273,0.169345,536087,432602,leakfree_pykt_v4
assist2012,simplekt,2,none,0.008255,0.771,0.168528,536087,424912,leakfree_pykt_v4
assist2012,simplekt,2,platt,0.005329,0.771,0.168479,536087,424912,leakfree_pykt_v4
assist2012,simplekt,2,isotonic,0.001947,0.770951,0.168469,536087,424912,leakfree_pykt_v4
