kind,dataset,key,quantity,point,ci_low,ci_high,boot_mean,n_students,n_cells,n_rows
ability_group,assist2012,ratio_low_over_overall,ratio,4.417190826847961,2.959572860718716,5.4508279964435395,4.132162366946557,908,20,485730
path,assist2017,isotonic,mean_mismatched,0.004340739207794046,0.004268351947097874,0.008098668203553495,0.005465343023220747,341,15,177767
path,assist2017,isotonic,mean_coherent,0.004358965824785404,0.00426006258398549,0.008098742034084443,0.005466510185345612,341,15,177767
path,assist2017,isotonic,delta,-1.8226616991358705e-05,-6.525429964937549e-05,5.8439920483628265e-05,-1.1671621248645954e-06,341,15,177767
path,assist2017,isotonic,ratio,0.9958185914448513,0.9876891214445828,1.0116749433830818,0.9998840988645292,341,15,177767
path,assist2017,platt,mean_mismatched,0.005840234385048158,0.005354774357009765,0.00906068611561615,0.006684504725213995,341,15,177767
path,assist2017,platt,mean_coherent,0.005840230935672071,0.005354767385082378,0.009060696353753664,0.006684498114066464,341,15,177767
path,assist2017,platt,delta,3.449376086844813e-09,-2.3610750806779892e-08,3.801321762644197e-08,6.611147530437376e-09,341,15,177767
path,assist2017,platt,ratio,1.0000005906232348,0.9999970368519798,1.0000064360694756,1.0000011717427941,341,15,177767
path,assist2017,temperature,mean_mismatched,0.014560965880936243,0.012068875184522126,0.018322767304085306,0.014890431589895042,341,15,177767
path,assist2017,temperature,mean_coherent,0.014560977243319893,0.012068868644525407,0.018322797418863997,0.014890441260328135,341,15,177767
path,assist2017,temperature,delta,-1.1362383650279084e-08,-4.0255372771302866e-08,2.0502294685066637e-08,-9.670433092325535e-09,341,15,177767
path,assist2017,temperature,ratio,0.9999992196688821,0.9999976063805579,1.0000016198953605,0.9999994358910611,341,15,177767
ability_group,assist2017,overall,ece,0.004516743843906988,0.004382433471069755,0.008123124500690422,0.005558334051249252,340,20,174356
ability_group,assist2017,group0,ece,0.014566086738574794,0.009919813634499682,0.027193780606802293,0.01653307916108278,54,20,174356
ability_group,assist2017,group1,ece,0.018481347577090655,0.011252354558830753,0.026405506881901852,0.018784943299203397,64,20,174356
ability_group,assist2017,group2,ece,0.006219251936609179,0.00606206948955072,0.011463673918990626,0.008196646666262828,117,20,174356
ability_group,assist2017,group3,ece,0.013079700682199774,0.00856756185336655,0.02203059683780664,0.014284715179156552,105,20,174356
ability_group,assist2017,ratio_low_over_overall,ratio,3.224908748859912,1.7528250806187202,4.857374234807131,3.010434116231543,54,20,174356
path,bridge2algebra2006,isotonic,mean_mismatched,0.0030566944211460442,0.002360617808001279,0.006842555124003044,0.0037404818499248505,229,20,352370
path,bridge2algebra2006,isotonic,mean_coherent,0.0030377725934043263,0.002326525287668909,0.006862701978268416,0.0037247262552808492,229,20,352370
path,bridge2algebra2006,isotonic,delta,1.892182774171792e-05,-4.555072327454175e-05,0.00010526674692269346,1.5755594644001527e-05,229,20,352370
path,bridge2algebra2006,isotonic,ratio,1.0062288493163714,0.9868471686316214,1.037100008803511,1.006234416463206,229,20,352370
path,bridge2algebra2006,platt,mean_mismatched,0.003825789461759127,0.0031505819080631437,0.007149859355924024,0.004435664574650706,229,20,352370
path,bridge2algebra2006,platt,mean_coherent,0.0038238372864349895,0.003161752121306182,0.007168841908503632,0.004449090228407999,229,20,352370
path,bridge2algebra2006,platt,delta,1.9521753241375298e-06,-7.265979449761072e-05,4.808987457611281e-05,-1.3425653757293133e-05,229,20,352370
path,bridge2algebra2006,platt,ratio,1.000510527822683,0.9810330740041008,1.0126987014257736,0.9969558676509449,229,20,352370
path,bridge2algebra2006,temperature,mean_mismatched,0.008416371517981667,0.006596871677465481,0.011386263883392568,0.008641353436322254,229,20,352370
path,bridge2algebra2006,temperature,mean_coherent,0.008474984571994566,0.006605215743274384,0.0114736046496396,0.008690191934817484,229,20,352370
path,bridge2algebra2006,temperature,delta,-5.861305401289908e-05,-8.98022064164106e-05,1.8462860583583898e-05,-4.8838498495230984e-05,229,20,352370
path,bridge2algebra2006,temperature,ratio,0.993083992836213,0.9902231161637386,1.0025659435250465,0.9945839141317804,229,20,352370
ability_group,bridge2algebra2006,overall,ece,0.0030499209159765253,0.002332212496046015,0.00688346521116434,0.003729126359283687,223,20,350102
ability_group,bridge2algebra2006,group0,ece,0.007681124046036774,0.005380539589597969,0.019870553810168876,0.010081181578247632,33,20,350102
ability_group,bridge2algebra2006,group1,ece,0.003129262000866323,0.003355052872557128,0.007381512460831037,0.004699219741238364,62,20,350102
ability_group,bridge2algebra2006,group2,ece,0.007681140155944156,0.004688809133208665,0.016052221107199536,0.008754837526517355,40,20,350102
ability_group,bridge2algebra2006,group3,ece,0.005372774396022765,0.0031501111491214905,0.012752970334671748,0.006196042125891301,88,20,350102
ability_group,bridge2algebra2006,ratio_low_over_overall,ratio,2.5184666283641746,1.0038849590984837,6.956767545182281,3.016108403046196,33,20,350102
path,ednet,isotonic,mean_mismatched,0.14419137879809754,0.13446446560487949,0.15658185543682568,0.14501626030003603,937,20,132209
path,ednet,isotonic,mean_coherent,0.013229176935872796,0.010526197338628631,0.028166576461658075,0.015746104175358107,937,20,132209
path,ednet,isotonic,delta,0.13096220186222474,0.11140537363772549,0.14299999512840578,0.12927015612467793,937,20,132209
path,ednet,isotonic,ratio,10.899497338122533,5.041216679752052,13.842214392849264,9.953753814773428,937,20,132209
path,ednet,platt,mean_mismatched,0.1710492229831808,0.16106908020170202,0.1821084555105097,0.17149319350220293,937,20,132209
path,ednet,platt,mean_coherent,0.016709452305699816,0.014714067074111357,0.030300782751442646,0.019176364347176657,937,20,132209
path,ednet,platt,delta,0.15433977067748098,0.13346562876082646,0.16538938970365513,0.15231682915502628,937,20,132209
path,ednet,platt,ratio,10.23667441959385,5.460573205191281,11.866515185843447,9.303136374954105,937,20,132209
path,ednet,temperature,mean_mismatched,0.16364023829116164,0.1538342142730181,0.17397749546107474,0.16397062904203913,937,20,132209
path,ednet,temperature,mean_coherent,0.06559731451161625,0.050818233763600146,0.08059279736850791,0.06547114172289045,937,20,132209
path,ednet,temperature,delta,0.09804292377954539,0.0753149506846264,0.1197098973896297,0.09849948731914866,937,20,132209
path,ednet,temperature,ratio,2.494617950589784,1.9455974903665096,3.3406758466525948,2.545126934690505,937,20,132209
ability_group,ednet,overall,ece,0.0196777979324285,0.012028498214838226,0.03636832406150841,0.021301142511272384,448,20,124621
ability_group,ednet,group0,ece,0.022078748774163173,0.013760968562428472,0.05767783247750438,0.029322027243414317,56,20,124621
ability_group,ednet,group1,ece,0.012884884987963821,0.01212421332361014,0.029712432006266592,0.017076342528777745,153,20,124621
ability_group,ednet,group2,ece,0.04753784120850579,0.021566591863814308,0.07127786798100269,0.045877329177063046,92,20,124621
ability_group,ednet,group3,ece,0.029923168554522355,0.01849267781695377,0.04688050342044238,0.031056547557949257,147,20,124621
ability_group,ednet,ratio_low_over_overall,ratio,1.1220131871451922,0.49302675451313055,4.051421145594028,1.578400344030048,56,20,124621
