dataset,model,method,n_folds,folds,ece_mean,ece_std,auc_mean,auc_std,brier_mean,brier_std,n_test
bridge2algebra2006,sakt,temperature,5,"0,1,2,3,4",0.0098,0.0024,0.7608,0.0009,0.1154,0.0001,352370
bridge2algebra2006,simplekt,isotonic,5,"0,1,2,3,4",0.0031,0.0011,0.8059,0.0015,0.107,0.0005,352370
bridge2algebra2006,simplekt,none,5,"0,1,2,3,4",0.0192,0.0097,0.806,0.0015,0.1076,0.001,352370
bridge2algebra2006,simplekt,platt,5,"0,1,2,3,4",0.0062,0.0023,0.806,0.0015,0.107,0.0005,352370
bridge2algebra2006,simplekt,temperature,5,"0,1,2,3,4",0.0125,0.0052,0.806,0.0015,0.1074,0.0007,352370
ednet,akt,isotonic,5,"0,1,2,3,4",0.1584,0.0026,0.6008,0.0003,0.2656,0.0022,132209
ednet,akt,none,5,"0,1,2,3,4",0.0911,0.0011,0.601,0.0003,0.2349,0.0006,132209
ednet,akt,platt,5,"0,1,2,3,4",0.1747,0.0025,0.601,0.0003,0.2676,0.0018,132209
ednet,akt,temperature,5,"0,1,2,3,4",0.1655,0.0016,0.601,0.0003,0.2579,0.0012,132209
ednet,dkt,isotonic,5,"0,1,2,3,4",0.1268,0.0078,0.6061,0.0021,0.2499,0.0047,132209
ednet,dkt,none,5,"0,1,2,3,4",0.0893,0.0018,0.6062,0.0021,0.2307,0.0012,132209
ednet,dkt,platt,5,"0,1,2,3,4",0.1691,0.0045,0.6062,0.0021,0.2585,0.0032,132209
ednet,dkt,temperature,5,"0,1,2,3,4",0.1579,0.004,0.6062,0.0021,0.2511,0.0031,132209
ednet,sakt,isotonic,5,"0,1,2,3,4",0.139,0.0063,0.6049,0.0017,0.255,0.0023,132209
ednet,sakt,none,5,"0,1,2,3,4",0.1204,0.011,0.6055,0.0017,0.24,0.0035,132209
ednet,sakt,platt,5,"0,1,2,3,4",0.1666,0.0039,0.6055,0.0017,0.2581,0.0018,132209
ednet,sakt,temperature,5,"0,1,2,3,4",0.1606,0.0059,0.6055,0.0017,0.2534,0.003,132209
ednet,simplekt,isotonic,5,"0,1,2,3,4",0.1612,0.0034,0.6557,0.0021,0.2527,0.0024,132209
ednet,simplekt,none,5,"0,1,2,3,4",0.1427,0.0065,0.6573,0.0022,0.2368,0.0024,132209
ednet,simplekt,platt,5,"0,1,2,3,4",0.1753,0.0058,0.6573,0.0022,0.2502,0.0032,132209
ednet,simplekt,temperature,5,"0,1,2,3,4",0.171,0.0091,0.6573,0.0022,0.2481,0.0052,132209
