dataset,granularity,family,model,fold,method,axis,q_low,q_high,ece_low,ece_high,ece_overall,ratio_low_over_high,ratio_low_over_overall,delta_ece,ci_low,ci_high,p,equalized_ce,n_students_low,n_students_high,n_eval_rows,selected_on_outcome,family_key,p_holm,reject_holm,family_size
ednet,question,classical,elorasch,3,platt,ability_prefix20,0,3,0.04582058827728452,0.021617045229328093,0.030734979723185056,2.1196508491881767,1.4908286483338582,0.024203543047956425,0.001049571610166959,0.05957502016421542,0.039196080391960805,0.015085608554099461,57,96,121496,False,question|ability_prefix20|platt|f3,1.0,False,52
ednet,question,classical,elorasch,3,isotonic,ability_prefix20,0,3,0.04480789370935444,0.02314282792777835,0.03133007064954423,1.9361459994943617,1.4301880838563086,0.02166506578157609,-0.0021525294807493434,0.05797604863725919,0.0795920407959204,0.013477823059810205,57,96,121496,False,question|ability_prefix20|isotonic|f3,1.0,False,52
ednet,question,classical,elorasch,3,temperature,ability_prefix20,0,3,0.03755587344425087,0.020155770854579255,0.026987840764978878,1.8632814252161647,1.3915849649218968,0.017400102589671614,-0.008345289331747094,0.053736479887245205,0.24437556244375563,0.01056803267927199,57,96,121496,False,question|ability_prefix20|temperature|f3,1.0,False,52
ednet,question,classical,elorasch,3,none,history,2,3,0.09082754444417117,0.051227647469903694,0.051588117321801165,1.7730180660264063,1.7606291750791883,0.039599896974267475,0.0196215034332996,0.05918132854094563,0.00019998000199980003,0.03923942712237,235,218,125922,False,question|history|none|f3,0.010398960103989602,True,52
ednet,question,classical,elorasch,3,platt,history,2,3,0.07212019272593563,0.030711692717367862,0.0300965644096523,2.3482975487427535,2.396293202914745,0.04140850000856777,0.022938413288605956,0.05998427490106576,0.00019998000199980003,0.042023628316283326,235,218,125922,False,question|history|platt|f3,0.010398960103989602,True,52
ednet,question,classical,elorasch,3,isotonic,history,2,3,0.06515747664426429,0.03117263173106148,0.029984949789287462,2.0902141726885106,2.173006028095558,0.033984844913202805,0.015863734768554003,0.052174525306253765,0.00039996000399960006,0.03517252685497682,235,218,125922,False,question|history|isotonic|f3,0.015598440155984402,True,52
ednet,question,classical,elorasch,3,temperature,history,2,3,0.07814937426549005,0.026766515979415473,0.02613379713710891,2.9196692735651535,2.9903566579125687,0.051382858286074584,0.03373691352643032,0.07044710794681991,0.00019998000199980003,0.052015577128381146,235,218,125922,False,question|history|temperature|f3,0.010398960103989602,True,52
ednet,question,classical,elorasch,3,none,rt,0,3,0.06665521157213505,0.04453216094309469,0.051588117321801165,1.4967881674843997,1.2920652086670843,0.022123050629040367,0.003399824786012714,0.04061312679703156,0.018198180181981802,0.015067094250333889,110,109,125922,False,question|rt|none|f3,0.6005399460053995,False,40
ednet,question,classical,elorasch,3,platt,rt,0,3,0.04021028510730417,0.027249961649315195,0.0300965644096523,1.4756088696482506,1.3360423655003058,0.012960323457988976,-0.0017207297283610462,0.0313149042332545,0.0781921807819218,0.01011372069765187,110,109,125922,False,question|rt|platt|f3,1.0,False,40
ednet,question,classical,elorasch,3,isotonic,rt,0,3,0.04300762975438081,0.0266194480313682,0.029984949789287462,1.6156469399253086,1.4343072126719347,0.016388181723012613,0.0011030619291776916,0.0316970244713226,0.036196380361963806,0.013022679965093351,110,109,125922,False,question|rt|isotonic|f3,0.9773022697730228,False,40
ednet,question,classical,elorasch,3,temperature,rt,0,3,0.03944421265295063,0.021763654629567364,0.02613379713710891,1.812389202287885,1.5093180851603643,0.017680558023383267,0.0019847123249168755,0.03519201354475216,0.026197380261973803,0.013310415515841719,110,109,125922,False,question|rt|temperature|f3,0.805919408059194,False,40
ednet,concept,deep,dkt,4,none,ability_prefix5,0,3,0.028131571710873684,0.017291674795033303,0.00963577808479879,1.6268853100888718,2.919491447738246,0.010839896915840381,-0.0059855184225645845,0.02075062441695525,0.17998200179982002,0.018495793626074893,104,188,296356,False,concept|ability_prefix5|none|f4,1.0,False,28
ednet,concept,deep,dkt,4,platt,ability_prefix5,0,3,0.02965130483292838,0.014922140624762742,0.012448098213960753,1.9870677792516667,2.3819947692631422,0.014729164208165637,-0.003324703656885642,0.022154889134151264,0.11378862113788621,0.017203206618967626,104,188,296356,False,concept|ability_prefix5|platt|f4,1.0,False,28
ednet,concept,deep,dkt,4,isotonic,ability_prefix5,0,3,0.028309121886450427,0.012619529285059706,0.0034854076414907466,2.2432787504971103,8.122183916008835,0.01568959260139072,-0.0015335072699146572,0.02651014247581941,0.07379262073792621,0.02482371424495968,104,188,296356,False,concept|ability_prefix5|isotonic|f4,1.0,False,28
ednet,concept,deep,dkt,4,temperature,ability_prefix5,0,3,0.031739425836235596,0.012408610346046517,0.011895266339096686,2.5578549854575807,2.6682400319122115,0.019330815490189078,0.0010837881740145916,0.026152631613087157,0.039396060393960604,0.01984415949713891,104,188,296356,False,concept|ability_prefix5|temperature|f4,0.5235476452354765,False,28
ednet,concept,deep,dkt,4,none,ability_prefix10,0,3,0.010173779907456089,0.013760421021462988,0.010247123652509809,0.7393509175037165,0.9928425041464435,-0.003586641114006899,-0.008784838936439408,0.0029368976976538673,0.30416958304169583,0.003513297368953179,132,207,292426,False,concept|ability_prefix10|none|f4,1.0,False,28
ednet,concept,deep,dkt,4,platt,ability_prefix10,0,3,0.012266432794007655,0.014269377651429454,0.012965089157886505,0.8596333416670663,0.9461124905991205,-0.002002944857421798,-0.006052574529281854,0.003363578228768619,0.5343465653434657,0.0013042884935429485,132,207,292426,False,concept|ability_prefix10|platt|f4,1.0,False,28
ednet,concept,deep,dkt,4,isotonic,ability_prefix10,0,3,0.0063545809241481056,0.00795383553853206,0.004136288915579817,0.7989329039258575,1.536300063618098,-0.0015992546143839548,-0.00786949750111293,0.007141268362255583,0.783921607839216,0.0038175466229522434,132,207,292426,False,concept|ability_prefix10|isotonic|f4,1.0,False,28
ednet,concept,deep,dkt,4,temperature,ability_prefix10,0,3,0.012494113709892273,0.013203564178921158,0.01214619294905402,0.9462682606442366,1.0286444289414447,-0.0007094504690288855,-0.004982246847669201,0.005492197525656802,0.9097090290970903,0.00106870607521993,132,207,292426,False,concept|ability_prefix10|temperature|f4,1.0,False,28
ednet,concept,deep,dkt,4,none,ability_all_rows,0,3,0.06175545252690813,0.028982853842202744,0.010247123652509809,2.130758166988521,6.026613381578789,0.03277259868470539,0.02457140834937879,0.04161789305547851,0.00019998000199980003,0.051508328874398324,139,142,292426,True,concept|ability_all_rows|none|f4,0.005599440055994401,True,28
ednet,concept,deep,dkt,4,platt,ability_all_rows,0,3,0.05273633999863258,0.024059925948287604,0.012965089157886505,2.1918745765045022,4.067564777721078,0.028676414050344975,0.021242305508102986,0.03701789716915153,0.00019998000199980003,0.03977125084074608,139,142,292426,True,concept|ability_all_rows|platt|f4,0.005599440055994401,True,28
ednet,concept,deep,dkt,4,isotonic,ability_all_rows,0,3,0.06357585175427191,0.025316929199693746,0.004136288915579817,2.511199176361443,15.370263792455603,0.03825892255457816,0.030732108638581987,0.04873117726575921,0.00019998000199980003,0.059439562838692096,139,142,292426,True,concept|ability_all_rows|isotonic|f4,0.005599440055994401,True,28
ednet,concept,deep,dkt,4,temperature,ability_all_rows,0,3,0.058786348920592355,0.02165458493450693,0.01214619294905402,2.7147298873835886,4.839899149236782,0.03713176398608542,0.02942750759733325,0.045341070013500705,0.00019998000199980003,0.04664015597153834,139,142,292426,True,concept|ability_all_rows|temperature|f4,0.005599440055994401,True,28
