dataset,model,method,n_folds,folds,ece_mean,ece_std,auc_mean,auc_std,brier_mean,brier_std,n_test
assist2015,pfa_recency,isotonic,5,"0,1,2,3,4",0.004798,0.001492,0.687913,0.000407,0.179436,7.8e-05,138458
assist2015,pfa_recency,none,5,"0,1,2,3,4",0.004835,0.000394,0.687679,0.000372,0.179629,5.8e-05,138458
assist2015,pfa_recency,platt,5,"0,1,2,3,4",0.006616,0.001504,0.687679,0.000372,0.17965,4.9e-05,138458
assist2015,pfa_recency,temperature,5,"0,1,2,3,4",0.006047,0.001395,0.687679,0.000372,0.179642,4.9e-05,138458
assist2017,bkt,isotonic,5,"0,1,2,3,4",0.005437,0.001499,0.637638,0.00026,0.2192,5.1e-05,178823
assist2017,bkt,none,5,"0,1,2,3,4",0.014826,0.000376,0.636455,0.00018,0.219757,2.2e-05,178823
assist2017,bkt,platt,5,"0,1,2,3,4",0.013421,0.002175,0.636455,0.00018,0.219615,3.5e-05,178823
assist2017,bkt,temperature,5,"0,1,2,3,4",0.015971,0.000894,0.636455,0.00018,0.219772,3.2e-05,178823
assist2017,elorasch,isotonic,5,"0,1,2,3,4",0.005173,0.000648,0.639929,0.000355,0.219567,8.8e-05,178823
assist2017,elorasch,none,5,"0,1,2,3,4",0.026906,0.00072,0.640129,0.000335,0.220362,6.9e-05,178823
assist2017,elorasch,platt,5,"0,1,2,3,4",0.007563,0.000265,0.640129,0.000335,0.219562,7.4e-05,178823
assist2017,elorasch,temperature,5,"0,1,2,3,4",0.007137,0.000327,0.640129,0.000335,0.219587,6.8e-05,178823
assist2017,pfa,isotonic,5,"0,1,2,3,4",0.005371,0.003159,0.625899,9.4e-05,0.222189,6.8e-05,178823
assist2017,pfa,none,5,"0,1,2,3,4",0.011539,0.000949,0.625652,8.5e-05,0.22255,3.1e-05,178823
assist2017,pfa,platt,5,"0,1,2,3,4",0.012274,0.001906,0.625652,8.5e-05,0.22261,0.000118,178823
assist2017,pfa,temperature,5,"0,1,2,3,4",0.011962,0.001993,0.625652,8.5e-05,0.222562,4.9e-05,178823
assist2017,pfa_recency,isotonic,5,"0,1,2,3,4",0.00498,0.003029,0.630158,0.000192,0.221407,5.1e-05,178823
assist2017,pfa_recency,none,5,"0,1,2,3,4",0.010008,0.000561,0.63034,0.000204,0.221604,3.4e-05,178823
assist2017,pfa_recency,platt,5,"0,1,2,3,4",0.011655,0.001868,0.63034,0.000204,0.221665,0.000107,178823
assist2017,pfa_recency,temperature,5,"0,1,2,3,4",0.010604,0.000869,0.63034,0.000204,0.221617,4.9e-05,178823
bridge2algebra2006,bkt,isotonic,5,"0,1,2,3,4",0.004955,0.001897,0.747747,0.000375,0.115991,4.7e-05,354262
bridge2algebra2006,bkt,none,5,"0,1,2,3,4",0.006002,0.000348,0.74654,0.000328,0.116363,2.2e-05,354262
bridge2algebra2006,bkt,platt,5,"0,1,2,3,4",0.006815,0.001669,0.746541,0.000329,0.116278,4.4e-05,354262
bridge2algebra2006,bkt,temperature,5,"0,1,2,3,4",0.008464,0.002122,0.746541,0.000329,0.116384,2.9e-05,354262
bridge2algebra2006,elorasch,isotonic,5,"0,1,2,3,4",0.004955,0.002163,0.706455,0.000468,0.123106,5.4e-05,354262
bridge2algebra2006,elorasch,none,5,"0,1,2,3,4",0.073603,0.000445,0.70673,0.000483,0.128968,0.000111,354262
bridge2algebra2006,elorasch,platt,5,"0,1,2,3,4",0.005844,0.001471,0.70673,0.000483,0.123102,5e-05,354262
bridge2algebra2006,elorasch,temperature,5,"0,1,2,3,4",0.00958,0.001405,0.70673,0.000483,0.12321,3.7e-05,354262
bridge2algebra2006,pfa,isotonic,5,"0,1,2,3,4",0.004327,0.001363,0.745832,0.00026,0.117405,3.8e-05,354262
bridge2algebra2006,pfa,none,5,"0,1,2,3,4",0.01029,0.001958,0.745744,0.000239,0.117753,0.000122,354262
bridge2algebra2006,pfa,platt,5,"0,1,2,3,4",0.010855,0.001054,0.745744,0.000239,0.117769,7.4e-05,354262
bridge2algebra2006,pfa,temperature,5,"0,1,2,3,4",0.010783,0.001361,0.745744,0.000239,0.117759,0.000104,354262
bridge2algebra2006,pfa_recency,isotonic,5,"0,1,2,3,4",0.003872,0.000914,0.748425,0.000126,0.116929,5.6e-05,354262
bridge2algebra2006,pfa_recency,none,5,"0,1,2,3,4",0.008062,0.000496,0.748491,0.000119,0.117122,2.5e-05,354262
bridge2algebra2006,pfa_recency,platt,5,"0,1,2,3,4",0.009127,0.001211,0.748491,0.000119,0.117141,4.4e-05,354262
bridge2algebra2006,pfa_recency,temperature,5,"0,1,2,3,4",0.008621,0.001096,0.748491,0.000119,0.117129,3.6e-05,354262
ednet,bkt,isotonic,5,"0,1,2,3,4",0.014019,0.005118,0.628607,0.000513,0.213615,0.000157,133974
ednet,bkt,none,5,"0,1,2,3,4",0.013602,0.001642,0.628852,0.000601,0.213763,3.8e-05,133974
ednet,bkt,platt,5,"0,1,2,3,4",0.017266,0.004122,0.628852,0.000601,0.213966,0.000176,133974
ednet,bkt,temperature,5,"0,1,2,3,4",0.014602,0.00391,0.628852,0.000601,0.213876,0.000126,133974
ednet,elorasch,isotonic,5,"0,1,2,3,4",0.010965,0.00811,0.641012,0.000399,0.211653,0.00025,133974
ednet,elorasch,none,5,"0,1,2,3,4",0.047016,0.000815,0.641338,0.000315,0.213919,6.9e-05,133974
ednet,elorasch,platt,5,"0,1,2,3,4",0.011826,0.007912,0.641338,0.000315,0.211603,0.000259,133974
ednet,elorasch,temperature,5,"0,1,2,3,4",0.010898,0.006989,0.641338,0.000315,0.211563,0.000212,133974
ednet,pfa,isotonic,5,"0,1,2,3,4",0.012868,0.00421,0.622427,0.00055,0.214965,0.000171,133974
ednet,pfa,none,5,"0,1,2,3,4",0.044059,0.00322,0.622161,0.000604,0.218673,0.000467,133974
ednet,pfa,platt,5,"0,1,2,3,4",0.031124,0.010276,0.622161,0.000604,0.216416,0.000553,133974
ednet,pfa,temperature,5,"0,1,2,3,4",0.040871,0.017572,0.622161,0.000604,0.217431,0.001267,133974
ednet,pfa_recency,isotonic,5,"0,1,2,3,4",0.012516,0.0038,0.623858,0.000704,0.21472,0.000203,133974
ednet,pfa_recency,none,5,"0,1,2,3,4",0.065636,0.004598,0.623899,0.000646,0.222758,0.000934,133974
ednet,pfa_recency,platt,5,"0,1,2,3,4",0.031629,0.005587,0.623899,0.000646,0.21587,0.00038,133974
ednet,pfa_recency,temperature,5,"0,1,2,3,4",0.04364,0.008339,0.623899,0.000646,0.217214,0.00083,133974
