dataset,granularity,family,model,fold,contrast,method_a,method_b,ece_a,ece_b,delta_ece,ci_low,ci_high,p,n_students,n_test,family_key,p_holm,reject_holm,family_size
algebra2005,concept,deep,simplekt,4,iso_vs_none,isotonic,none,0.004129153977666996,0.01777508933794809,-0.013645935360281095,-0.019205870919144455,-0.0015130118117262373,0.0287971202879712,114,134674,concept|f4|iso_vs_none,0.2015798420157984,False,28
algebra2005,concept,deep,simplekt,4,best_vs_runnerup,isotonic,platt,0.004129153977666996,0.005658848616611316,-0.00152969463894432,-0.004452603496494568,0.00021314398892277134,0.2713728627137286,114,134674,concept|f4|best_vs_runnerup,1.0,False,28
algebra2005,question,deep,dkt,0,iso_vs_none,isotonic,none,0.008396330527263539,0.018426915918016085,-0.010030585390752546,-0.012275122649407949,-0.006484880309599648,0.00019998000199980003,114,92945,question|f0|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,deep,dkt,0,best_vs_runnerup,platt,isotonic,0.008312324445455863,0.008396330527263539,-8.400608180767627e-05,-0.001483811418220268,0.0015935561904077036,0.4991500849915009,114,92945,question|f0|best_vs_runnerup,1.0,False,52
algebra2005,question,deep,dkt,1,iso_vs_none,isotonic,none,0.008684374649873636,0.009144125020173149,-0.00045975037029951336,-0.007488121032403732,0.006212747396026166,0.9403059694030597,114,92945,question|f1|iso_vs_none,1.0,False,52
algebra2005,question,deep,dkt,1,best_vs_runnerup,temperature,platt,0.006895630243694675,0.008111475930678711,-0.0012158456869840358,-0.0012685496921623297,0.000643850782387005,0.1735826417358264,114,92945,question|f1|best_vs_runnerup,1.0,False,52
algebra2005,question,deep,dkt,2,iso_vs_none,isotonic,none,0.005416607061297115,0.009055900801549027,-0.003639293740251912,-0.0061227149392297925,0.0005063520375947835,0.09099090090990901,114,92945,question|f2|iso_vs_none,1.0,False,52
algebra2005,question,deep,dkt,2,best_vs_runnerup,platt,isotonic,0.004320255758246756,0.005416607061297115,-0.0010963513030503597,-0.0030535102144962096,0.0006048004241701428,0.31616838316168383,114,92945,question|f2|best_vs_runnerup,1.0,False,52
algebra2005,question,deep,dkt,3,iso_vs_none,isotonic,none,0.004145374683256566,0.009450445962666166,-0.005305071279409599,-0.009745990857385088,0.005608185097752659,0.3835616438356164,114,92945,question|f3|iso_vs_none,1.0,False,52
algebra2005,question,deep,dkt,3,best_vs_runnerup,isotonic,platt,0.004145374683256566,0.005058809324899445,-0.0009134346416428789,-0.002227032526538527,0.002632335222008679,0.8289171082891711,114,92945,question|f3|best_vs_runnerup,1.0,False,52
algebra2005,question,deep,dkt,4,iso_vs_none,isotonic,none,0.003709444454636354,0.011837706170316056,-0.008128261715679702,-0.011509773329069899,0.001646196747086302,0.10798920107989202,114,92945,question|f4|iso_vs_none,0.7559244075592442,False,52
algebra2005,question,deep,dkt,4,best_vs_runnerup,isotonic,platt,0.003709444454636354,0.004280790819193314,-0.0005713463645569605,-0.0016970643226485972,0.0016079688485722003,0.7139286071392861,114,92945,question|f4|best_vs_runnerup,1.0,False,52
algebra2005,question,deep,sakt,0,iso_vs_none,isotonic,none,0.009451996387790278,0.05898694281564368,-0.0495349464278534,-0.06009502339637897,-0.035069969369924646,0.00019998000199980003,114,92945,question|f0|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,deep,sakt,0,best_vs_runnerup,isotonic,platt,0.009451996387790278,0.01407683863171134,-0.004624842243921063,-0.008010686952220552,-0.00034832610356828284,0.0103989601039896,114,92945,question|f0|best_vs_runnerup,0.3951604839516048,False,52
algebra2005,question,deep,sakt,1,iso_vs_none,isotonic,none,0.010279013023199246,0.057574791543385795,-0.04729577852018655,-0.05843481451020519,-0.03322135735617493,0.00019998000199980003,114,92945,question|f1|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,deep,sakt,1,best_vs_runnerup,isotonic,platt,0.010279013023199246,0.012470708716653602,-0.002191695693454355,-0.006764079439127222,-3.764288762889551e-05,0.03519648035196481,114,92945,question|f1|best_vs_runnerup,0.9855014498550145,False,52
algebra2005,question,deep,sakt,2,iso_vs_none,isotonic,none,0.006375238680334716,0.05358530528807384,-0.047210066607739125,-0.05341629937728658,-0.0348133404836223,0.00019998000199980003,114,92945,question|f2|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,deep,sakt,2,best_vs_runnerup,isotonic,platt,0.006375238680334716,0.011679627669532825,-0.005304388989198109,-0.00748450724812336,-0.0013542818382587109,0.0035996400359964,114,92945,question|f2|best_vs_runnerup,0.143985601439856,False,52
algebra2005,question,deep,sakt,3,iso_vs_none,isotonic,none,0.006511678369181776,0.0507204863091078,-0.04420880793992602,-0.048675114523804096,-0.03571555383838067,0.00019998000199980003,114,92945,question|f3|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,deep,sakt,3,best_vs_runnerup,isotonic,platt,0.006511678369181776,0.013258050853704567,-0.006746372484522791,-0.009858026903689492,-0.0015660299147860067,0.0053994600539946005,114,92945,question|f3|best_vs_runnerup,0.22677732226777322,False,52
algebra2005,question,deep,sakt,4,iso_vs_none,isotonic,none,0.004657631681734592,0.05168080047339848,-0.047023168791663884,-0.050365393547547106,-0.037866842668968705,0.00019998000199980003,114,92945,question|f4|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,deep,sakt,4,best_vs_runnerup,isotonic,platt,0.004657631681734592,0.010565116140825033,-0.005907484459090441,-0.008928349227742275,-0.0008123441220341661,0.019198080191980802,114,92945,question|f4|best_vs_runnerup,0.6335366463353664,False,52
algebra2005,question,deep,akt,0,iso_vs_none,isotonic,none,0.009306129569640983,0.02222141696702365,-0.012915287397382666,-0.02395951878096867,-0.0008409504744111373,0.032996700329967,114,92945,question|f0|iso_vs_none,0.31596840315968405,False,52
algebra2005,question,deep,akt,0,best_vs_runnerup,isotonic,platt,0.009306129569640983,0.018262230134676233,-0.00895610056503525,-0.014596715351614007,-0.00362096815664353,0.00019998000199980003,114,92945,question|f0|best_vs_runnerup,0.010398960103989602,True,52
algebra2005,question,deep,akt,1,iso_vs_none,isotonic,none,0.010154991167907343,0.024972267470009153,-0.01481727630210181,-0.025274603502450605,-0.0025144305544582955,0.012998700129987,114,92945,question|f1|iso_vs_none,0.155984401559844,False,52
algebra2005,question,deep,akt,1,best_vs_runnerup,isotonic,platt,0.010154991167907343,0.015268883295469552,-0.005113892127562209,-0.011547958905955403,-0.001305881212380885,0.00019998000199980003,114,92945,question|f1|best_vs_runnerup,0.010398960103989602,True,52
algebra2005,question,deep,akt,2,iso_vs_none,isotonic,none,0.006110668513372631,0.026762617677121008,-0.020651949163748375,-0.0260953609453068,-0.008093418338247423,0.0011998800119988001,114,92945,question|f2|iso_vs_none,0.025197480251974803,True,52
algebra2005,question,deep,akt,2,best_vs_runnerup,isotonic,platt,0.006110668513372631,0.016819176366650736,-0.010708507853278103,-0.013431878094080942,-0.00579124822287344,0.00019998000199980003,114,92945,question|f2|best_vs_runnerup,0.010398960103989602,True,52
